range of distance,number in the range
"(425.7923655269043,427.95525258018586)",1764.0
"(469.0501065925358,471.2129936458174)",900.0
"(8078.086760037122,8080.249647090403)",3.0
"(8337.633206430912,8339.796093484192)",3.0
"(12436.3041723995,12438.46705945278)",3.0
"(12486.050574624975,12488.213461678257)",3.0
"(13349.042508884324,13351.205395937604)",3.0
"(13684.290002142969,13686.452889196249)",3.0
"(17192.492802565685,17194.655689618965)",3.0
"(17194.655689618965,17196.81857667225)",3.0
"(17244.402091844444,17246.564978897724)",3.0
"(17367.686653881494,17369.849540934774)",3.0
"(18719.49106218248,18721.65394923576)",3.0
"(19087.181861240348,19089.344748293628)",3.0
"(21596.130843046976,21598.293730100257)",3.0
"(21665.343228751986,21667.506115805267)",3.0
"(22106.572187621427,22108.735074674707)",3.0
"(22214.716540285506,22216.879427338787)",3.0
"(22266.625829564262,22268.788716617546)",3.0
"(22511.03206658508,22513.19495363836)",3.0
"(24124.54580833314,24126.70869538642)",3.0
"(24509.53970381726,24511.70259087054)",3.0
"(26276.618426348305,26278.78131340159)",3.0
"(26278.78131340159,26280.94420045487)",3.0
"(26354.482360266444,26356.645247319724)",3.0
"(26503.721566942873,26505.884453996154)",3.0
"(27115.81860302156,27117.98149007484)",3.0
"(27258.569148538143,27260.732035591423)",3.0
"(27483.509402079428,27485.672289132708)",3.0
"(27769.010493112593,27771.173380165877)",3.0
"(29542.577876803487,29544.740763856767)",3.0
"(29938.386207554016,29940.549094607297)",3.0
"(30768.93483601414,30771.09772306742)",3.0
"(30848.96165698556,30851.12454403884)",3.0
"(31065.250362313716,31067.413249366997)",3.0
"(31112.83387748591,31114.99676453919)",3.0
"(31339.937018080476,31342.099905133757)",3.0
"(31541.085514035665,31543.248401088946)",3.0
"(32172.648533593885,32174.811420647166)",3.0
"(32339.190836696565,32341.353723749846)",3.0
"(32776.094021459445,32778.256908512725)",3.0
"(33087.549757131994,33089.712644185274)",3.0
"(34971.424380540244,34973.587267593524)",3.0
"(35373.721372450615,35375.8842595039)",3.0
"(35386.698694770304,35388.861581823585)",3.0
"(35412.653339409684,35414.816226462965)",3.0
"(35529.44924028689,35531.61212734017)",3.0
"(35665.71112464363,35667.87401169691)",3.0
"(35955.53798978336,35957.70087683664)",3.0
"(36039.89058486134,36042.05347191462)",3.0
"(36455.164899091404,36457.327786144684)",3.0
"(36695.24536200566,36697.40824905894)",3.0
"(37259.75888291215,37261.92176996543)",3.0
"(37443.60428244108,37445.767169494364)",3.0
"(38109.77349485181,38111.93638190509)",3.0
"(38440.69521400389,38442.85810105717)",3.0
"(39948.22749014115,39950.39037719443)",3.0
"(40032.58008521913,40034.74297227241)",3.0
"(40125.58422851024,40127.74711556352)",3.0
"(40138.56155082993,40140.72443788321)",3.0
