range of distance,number in the range
"(425.7923655269043,1507.2358921676923)",2664.0
"(7995.897052012421,9077.34057865321)",6.0
"(12321.671158575573,13403.114685216362)",9.0
"(13403.114685216362,14484.558211857151)",3.0
"(16647.445265138726,17728.888791779515)",12.0
"(17728.888791779515,18810.332318420304)",3.0
"(18810.332318420304,19891.775845061093)",3.0
"(20973.219371701878,22054.662898342667)",6.0
"(22054.662898342667,23136.106424983456)",12.0
"(23136.106424983456,24217.54995162424)",3.0
"(24217.54995162424,25298.99347826503)",3.0
"(25298.99347826503,26380.43700490582)",9.0
"(26380.43700490582,27461.88053154661)",9.0
"(27461.88053154661,28543.324058187398)",6.0
"(28543.324058187398,29624.767584828183)",3.0
"(29624.767584828183,30706.211111468972)",3.0
"(30706.211111468972,31787.65463810976)",18.0
"(31787.65463810976,32869.09816475055)",9.0
"(32869.09816475055,33950.541691391336)",3.0
"(33950.541691391336,35031.985218032125)",3.0
"(35031.985218032125,36113.428744672914)",21.0
"(36113.428744672914,37194.8722713137)",6.0
"(37194.8722713137,38276.31579795449)",9.0
"(38276.31579795449,39357.75932459528)",3.0
"(39357.75932459528,40439.20285123606)",15.0
"(40439.20285123606,41520.64637787685)",15.0
"(41520.64637787685,42602.08990451764)",12.0
"(42602.08990451764,43683.53343115843)",3.0
"(43683.53343115843,44764.97695779922)",12.0
"(44764.97695779922,45846.42048444001)",18.0
"(45846.42048444001,46927.8640110808)",12.0
"(46927.8640110808,48009.30753772158)",9.0
"(48009.30753772158,49090.75106436237)",3.0
"(49090.75106436237,50172.19459100316)",27.0
"(50172.19459100316,51253.638117643946)",12.0
"(51253.638117643946,52335.081644284735)",9.0
"(52335.081644284735,53416.525170925524)",9.0
"(53416.525170925524,54497.96869756631)",21.0
"(54497.96869756631,55579.4122242071)",15.0
"(55579.4122242071,56660.85575084789)",12.0
"(56660.85575084789,57742.29927748867)",9.0
"(57742.29927748867,58823.74280412946)",27.0
"(58823.74280412946,59905.18633077025)",18.0
"(59905.18633077025,60986.62985741104)",6.0
"(60986.62985741104,62068.07338405183)",12.0
"(62068.07338405183,63149.51691069262)",30.0
"(63149.51691069262,64230.96043733341)",18.0
"(64230.96043733341,65312.40396397419)",15.0
"(65312.40396397419,66393.847490615)",12.0
"(66393.847490615,67475.29101725577)",6.0
"(67475.29101725577,68556.73454389657)",30.0
"(68556.73454389657,69638.17807053735)",21.0
"(69638.17807053735,70719.62159717813)",12.0
"(70719.62159717813,71801.06512381893)",3.0
"(71801.06512381893,72882.50865045971)",30.0
"(72882.50865045971,73963.95217710051)",18.0
"(73963.95217710051,75045.39570374129)",3.0
"(75045.39570374129,76126.83923038209)",6.0
"(76126.83923038209,77208.28275702287)",30.0
"(77208.28275702287,78289.72628366367)",12.0
"(78289.72628366367,79371.16981030445)",6.0
"(79371.16981030445,80452.61333694523)",6.0
"(80452.61333694523,81534.05686358603)",21.0
"(81534.05686358603,82615.5003902268)",9.0
"(82615.5003902268,83696.9439168676)",6.0
"(83696.9439168676,84778.38744350839)",6.0
"(84778.38744350839,85859.83097014918)",12.0
"(85859.83097014918,86941.27449678996)",12.0
"(86941.27449678996,88022.71802343075)",12.0
"(89104.16155007154,90185.60507671232)",6.0
"(90185.60507671232,91267.04860335312)",15.0
"(91267.04860335312,92348.4921299939)",9.0
"(94511.37918327548,95592.82270991626)",18.0
"(95592.82270991626,96674.26623655706)",6.0
"(98837.15328983864,99918.59681647942)",12.0
"(99918.59681647942,101000.04034312021)",6.0
"(103162.92739640179,104244.37092304257)",6.0
"(104244.37092304257,105325.81444968336)",6.0
"(107488.70150296493,108570.14502960573)",6.0
