pad distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
469.574,RowPad,11,C,T00-,-59829.978,-2650.0,-26903.842,-56984.248,RowPad,11,C,X00+,-59829.978,-2650.0,-26693.842,-57404.248
425.793,RowPad,11,C,X00+,-59829.978,-2650.0,-26693.842,-57404.248,RowPad,11,C,X00-,-59829.978,-2650.0,-26623.842,-56984.248
67378.933,RowPad,11,C,X00-,-59829.978,-2650.0,-26623.842,-56984.248,ColumnPad,0,C,R11+,-59829.978,-2650.0,-65256.616,-1780.721
469.574,RowPad,10,C,T00-,-54529.978,-2650.0,-21603.842,-56984.248,RowPad,10,C,X00+,-54529.978,-2650.0,-21393.842,-57404.248
425.793,RowPad,10,C,X00+,-54529.978,-2650.0,-21393.842,-57404.248,RowPad,10,C,X00-,-54529.978,-2650.0,-21323.842,-56984.248
70274.625,RowPad,10,C,X00-,-54529.978,-2650.0,-21323.842,-56984.248,ColumnPad,0,C,R10+,-54529.978,-2650.0,-65116.616,-2023.209
469.574,RowPad,9,C,T00-,-49229.978,-2650.0,-16303.842,-56984.248,RowPad,9,C,X00+,-49229.978,-2650.0,-16093.842,-57404.248
425.793,RowPad,9,C,X00+,-49229.978,-2650.0,-16093.842,-57404.248,RowPad,9,C,X00-,-49229.978,-2650.0,-16023.842,-56984.248
73419.984,RowPad,9,C,X00-,-49229.978,-2650.0,-16023.842,-56984.248,ColumnPad,0,C,R09+,-49229.978,-2650.0,-64976.616,-2265.696
469.574,RowPad,8,C,T00-,-43929.978,-2650.0,-11003.842,-56984.248,RowPad,8,C,X00+,-43929.978,-2650.0,-10793.842,-57404.248
425.793,RowPad,8,C,X00+,-43929.978,-2650.0,-10793.842,-57404.248,RowPad,8,C,X00-,-43929.978,-2650.0,-10723.842,-56984.248
76784.334,RowPad,8,C,X00-,-43929.978,-2650.0,-10723.842,-56984.248,ColumnPad,0,C,R08+,-43929.978,-2650.0,-64836.616,-2508.183
469.574,RowPad,7,C,T00-,-38629.978,-2650.0,-5703.842,-56984.248,RowPad,7,C,X00+,-38629.978,-2650.0,-5493.842,-57404.248
425.793,RowPad,7,C,X00+,-38629.978,-2650.0,-5493.842,-57404.248,RowPad,7,C,X00-,-38629.978,-2650.0,-5423.842,-56984.248
80340.169,RowPad,7,C,X00-,-38629.978,-2650.0,-5423.842,-56984.248,ColumnPad,0,C,R07+,-38629.978,-2650.0,-64696.616,-2750.67
469.574,RowPad,6,C,T00-,-33329.978,-2650.0,-403.842,-56984.248,RowPad,6,C,X00+,-33329.978,-2650.0,-193.842,-57404.248
425.793,RowPad,6,C,X00+,-33329.978,-2650.0,-193.842,-57404.248,RowPad,6,C,X00-,-33329.978,-2650.0,-123.842,-56984.248
84063.192,RowPad,6,C,X00-,-33329.978,-2650.0,-123.842,-56984.248,ColumnPad,0,C,R06+,-33329.978,-2650.0,-64556.616,-2993.157
469.574,RowPad,5,C,T00-,-28029.978,-2650.0,4896.158,-56984.248,RowPad,5,C,X00+,-28029.978,-2650.0,5106.158,-57404.248
425.793,RowPad,5,C,X00+,-28029.978,-2650.0,5106.158,-57404.248,RowPad,5,C,X00-,-28029.978,-2650.0,5176.158,-56984.248
87932.171,RowPad,5,C,X00-,-28029.978,-2650.0,5176.158,-56984.248,ColumnPad,0,C,R05+,-28029.978,-2650.0,-64416.616,-3235.644
469.574,RowPad,4,C,T00-,-22729.978,-2650.0,10196.158,-56984.248,RowPad,4,C,X00+,-22729.978,-2650.0,10406.158,-57404.248
425.793,RowPad,4,C,X00+,-22729.978,-2650.0,10406.158,-57404.248,RowPad,4,C,X00-,-22729.978,-2650.0,10476.158,-56984.248
91928.678,RowPad,4,C,X00-,-22729.978,-2650.0,10476.158,-56984.248,ColumnPad,0,C,R04+,-22729.978,-2650.0,-64276.616,-3478.131
469.574,RowPad,3,C,T00-,-17429.978,-2650.0,15496.158,-56984.248,RowPad,3,C,X00+,-17429.978,-2650.0,15706.158,-57404.248
425.793,RowPad,3,C,X00+,-17429.978,-2650.0,15706.158,-57404.248,RowPad,3,C,X00-,-17429.978,-2650.0,15776.158,-56984.248
96036.794,RowPad,3,C,X00-,-17429.978,-2650.0,15776.158,-56984.248,ColumnPad,0,C,R03+,-17429.978,-2650.0,-64136.616,-3720.618
469.574,RowPad,2,C,T00-,-12129.978,-2650.0,20796.158,-56984.248,RowPad,2,C,X00+,-12129.978,-2650.0,21006.158,-57404.248
425.793,RowPad,2,C,X00+,-12129.978,-2650.0,21006.158,-57404.248,RowPad,2,C,X00-,-12129.978,-2650.0,21076.158,-56984.248
