pad distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
425.793,RowPad,11,C,B00+,-59829.978,-2650.0,-26833.842,-57404.248,RowPad,11,C,B00-,-59829.978,-2650.0,-26763.842,-56984.248
469.574,RowPad,11,C,B00-,-59829.978,-2650.0,-26763.842,-56984.248,RowPad,11,C,T00+,-59829.978,-2650.0,-26973.842,-57404.248
425.793,RowPad,11,C,T00+,-59829.978,-2650.0,-26973.842,-57404.248,RowPad,11,C,T00-,-59829.978,-2650.0,-26903.842,-56984.248
469.574,RowPad,11,C,T00-,-59829.978,-2650.0,-26903.842,-56984.248,RowPad,11,C,X00+,-59829.978,-2650.0,-26693.842,-57404.248
425.793,RowPad,11,C,X00+,-59829.978,-2650.0,-26693.842,-57404.248,RowPad,11,C,X00-,-59829.978,-2650.0,-26623.842,-56984.248
67378.933,RowPad,11,C,X00-,-59829.978,-2650.0,-26623.842,-56984.248,ColumnPad,0,C,R11+,-59829.978,-2650.0,-65256.616,-1780.721
425.793,ColumnPad,0,C,R11+,-59829.978,-2650.0,-65256.616,-1780.721,ColumnPad,0,C,R11-,-59829.978,-2650.0,-64857.886,-1631.343
469.574,ColumnPad,0,C,R11-,-59829.978,-2650.0,-64857.886,-1631.343,ColumnPad,0,C,L11+,-59829.978,-2650.0,-65326.616,-1659.478
425.793,ColumnPad,0,C,L11+,-59829.978,-2650.0,-65326.616,-1659.478,ColumnPad,0,C,L11-,-59829.978,-2650.0,-64927.886,-1510.1
67641.052,ColumnPad,0,C,L11-,-59829.978,-2650.0,-64927.886,-1510.1,RowPad,11,C,B00+,-59829.978,-2650.0,-26833.842,-57404.248
425.793,RowPad,0,A,B11+,-59829.978,2650.0,-63716.616,4448.08,RowPad,0,A,B11-,-59829.978,2650.0,-63387.886,4177.458
