range of distance,number in the range
"(140.0,1226.93078)",5508.0
"(7748.51546,8835.44624)",48.0
"(12096.23858,13183.16936)",48.0
"(13183.16936,14270.100139999999)",48.0
"(16443.9617,17530.89248)",93.0
"(17530.89248,18617.823259999997)",6.0
"(18617.823259999997,19704.75404)",45.0
"(20791.68482,21878.615599999997)",51.0
"(21878.615599999997,22965.54638)",93.0
"(22965.54638,24052.47716)",3.0
"(24052.47716,25139.407939999997)",45.0
"(25139.407939999997,26226.33872)",30.0
"(26226.33872,27313.2695)",99.0
"(27313.2695,28400.200279999997)",63.0
"(28400.200279999997,29487.131059999996)",3.0
"(29487.131059999996,30574.06184)",48.0
"(30574.06184,31660.992619999997)",138.0
"(31660.992619999997,32747.923399999996)",60.0
"(32747.923399999996,33834.854179999995)",39.0
"(33834.854179999995,34921.78496)",3.0
"(34921.78496,36008.71574)",165.0
"(36008.71574,37095.646519999995)",78.0
"(37095.646519999995,38182.5773)",57.0
"(38182.5773,39269.50808)",33.0
"(39269.50808,40356.438859999995)",102.0
"(40356.438859999995,41443.36964)",138.0
"(41443.36964,42530.30042)",75.0
"(42530.30042,43617.231199999995)",45.0
"(43617.231199999995,44704.16198)",81.0
"(44704.16198,45791.09276)",141.0
"(45791.09276,46878.023539999995)",99.0
"(46878.023539999995,47964.95432)",87.0
"(47964.95432,49051.8851)",48.0
"(49051.8851,50138.815879999995)",189.0
"(50138.815879999995,51225.74666)",90.0
"(51225.74666,52312.67744)",78.0
"(52312.67744,53399.608219999995)",78.0
"(53399.608219999995,54486.539)",174.0
"(54486.539,55573.46977999999)",111.0
"(55573.46977999999,56660.400559999995)",99.0
"(56660.400559999995,57747.33134)",90.0
"(57747.33134,58834.26211999999)",195.0
"(58834.26211999999,59921.192899999995)",144.0
"(59921.192899999995,61008.12368)",66.0
"(61008.12368,62095.05445999999)",81.0
"(62095.05445999999,63181.985239999995)",228.0
"(63181.985239999995,64268.91602)",153.0
"(64268.91602,65355.84679999999)",132.0
"(65355.84679999999,66442.77758)",78.0
"(66442.77758,67529.70835999999)",126.0
"(67529.70835999999,68616.63914)",237.0
"(68616.63914,69703.56992)",117.0
"(69703.56992,70790.50069999999)",126.0
"(70790.50069999999,71877.43148)",48.0
"(71877.43148,72964.36226)",219.0
"(72964.36226,74051.29303999999)",171.0
"(74051.29303999999,75138.22382)",21.0
"(75138.22382,76225.1546)",45.0
"(76225.1546,77312.08537999999)",282.0
"(77312.08537999999,78399.01616)",78.0
"(78399.01616,79485.94694)",48.0
"(79485.94694,80572.87771999999)",66.0
"(80572.87771999999,81659.8085)",183.0
"(81659.8085,82746.73928)",66.0
"(82746.73928,83833.67005999999)",54.0
"(83833.67005999999,84920.60084)",63.0
"(84920.60084,86007.53162)",123.0
"(86007.53162,87094.46239999999)",93.0
"(87094.46239999999,88181.39318)",93.0
"(88181.39318,89268.32396)",3.0
"(89268.32396,90355.25473999999)",69.0
"(90355.25473999999,91442.18552)",114.0
"(91442.18552,92529.1163)",81.0
"(93616.04707999999,94702.97786)",30.0
"(94702.97786,95789.90864)",126.0
"(95789.90864,96876.83941999999)",60.0
"(97963.7702,99050.70098)",12.0
"(99050.70098,100137.63175999999)",117.0
"(100137.63175999999,101224.56254)",39.0
"(103398.42409999999,104485.35488)",93.0
"(104485.35488,105572.28566)",27.0
"(107746.14721999998,108833.078)",72.0
