pixel distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
0.0,RowPad,0,A,X00+,-1529.978,2650.0,-65326.616,1659.478,RowPad,0,A,B00+,-1529.978,2650.0,-65256.616,1780.721
5300.0,RowPad,0,A,T01+,-6829.978,2650.0,-65046.616,2144.452,RowPad,0,A,X00-,-1529.978,2650.0,-64997.886,1388.856
10600.0,RowPad,0,A,X00-,-1529.978,2650.0,-64997.886,1388.856,RowPad,0,A,B02+,-12129.978,2650.0,-64976.616,2265.696
61122.58177878471,RowPad,0,A,T11-,-59829.978,2650.0,-63317.886,4298.701,RowPad,1,A,X00+,1120.022,7239.935,-62866.616,5920.323
0.0,RowPad,1,A,X00+,1120.022,7239.935,-62866.616,5920.323,RowPad,1,A,B00+,1120.022,7239.935,-62796.616,6041.566
5300.0,RowPad,1,A,T01+,-4179.978,7239.935,-62586.616,6405.297,RowPad,1,A,X00-,1120.022,7239.935,-62537.886,5649.701
10600.0,RowPad,1,A,X00-,1120.022,7239.935,-62537.886,5649.701,RowPad,1,A,B02+,-9479.978,7239.935,-62516.616,6526.541
61122.58170369079,RowPad,1,A,T11-,-57179.978,7239.935,-60857.886,8559.546,RowPad,2,A,X00+,3770.022,11829.869,-60216.616,10510.257
0.0,RowPad,2,A,X00+,3770.022,11829.869,-60216.616,10510.257,RowPad,2,A,B00+,3770.022,11829.869,-60146.616,10631.501
5300.0,RowPad,2,A,T01+,-1529.978,11829.869,-59936.616,10995.232,RowPad,2,A,X00-,3770.022,11829.869,-59887.886,10239.636
10600.0,RowPad,2,A,X00-,3770.022,11829.869,-59887.886,10239.636,RowPad,2,A,B02+,-6829.978,11829.869,-59866.616,11116.475
61122.58177878471,RowPad,2,A,T11-,-54529.978,11829.869,-58207.886,13149.481,RowPad,3,A,X00+,6420.022,16419.804,-57566.616,15100.192
0.0,RowPad,3,A,X00+,6420.022,16419.804,-57566.616,15100.192,RowPad,3,A,B00+,6420.022,16419.804,-57496.616,15221.436
