distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
425.793,RowPad,11,C,B00+,-59829.978,-2650.0,-26833.842,-57404.248,RowPad,11,C,B00-,-59829.978,-2650.0,-26763.842,-56984.248
140.0,RowPad,11,C,B00+,-59829.978,-2650.0,-26833.842,-57404.248,RowPad,11,C,T00+,-59829.978,-2650.0,-26973.842,-57404.248
425.793,RowPad,11,C,B00+,-59829.978,-2650.0,-26833.842,-57404.248,RowPad,11,C,T00-,-59829.978,-2650.0,-26903.842,-56984.248
140.0,RowPad,11,C,B00+,-59829.978,-2650.0,-26833.842,-57404.248,RowPad,11,C,X00+,-59829.978,-2650.0,-26693.842,-57404.248
469.574,RowPad,11,C,B00+,-59829.978,-2650.0,-26833.842,-57404.248,RowPad,11,C,X00-,-59829.978,-2650.0,-26623.842,-56984.248
67603.893,RowPad,11,C,B00+,-59829.978,-2650.0,-26833.842,-57404.248,ColumnPad,0,C,R11+,-59829.978,-2650.0,-65256.616,-1780.721
67501.443,RowPad,11,C,B00+,-59829.978,-2650.0,-26833.842,-57404.248,ColumnPad,0,C,R11-,-59829.978,-2650.0,-64857.886,-1631.343
67743.435,RowPad,11,C,B00+,-59829.978,-2650.0,-26833.842,-57404.248,ColumnPad,0,C,L11+,-59829.978,-2650.0,-65326.616,-1659.478
67641.052,RowPad,11,C,B00+,-59829.978,-2650.0,-26833.842,-57404.248,ColumnPad,0,C,L11-,-59829.978,-2650.0,-64927.886,-1510.1
469.574,RowPad,11,C,B00-,-59829.978,-2650.0,-26763.842,-56984.248,RowPad,11,C,T00+,-59829.978,-2650.0,-26973.842,-57404.248
140.0,RowPad,11,C,B00-,-59829.978,-2650.0,-26763.842,-56984.248,RowPad,11,C,T00-,-59829.978,-2650.0,-26903.842,-56984.248
425.793,RowPad,11,C,B00-,-59829.978,-2650.0,-26763.842,-56984.248,RowPad,11,C,X00+,-59829.978,-2650.0,-26693.842,-57404.248
140.0,RowPad,11,C,B00-,-59829.978,-2650.0,-26763.842,-56984.248,RowPad,11,C,X00-,-59829.978,-2650.0,-26623.842,-56984.248
67298.76,RowPad,11,C,B00-,-59829.978,-2650.0,-26763.842,-56984.248,ColumnPad,0,C,R11+,-59829.978,-2650.0,-65256.616,-1780.721
67194.496,RowPad,11,C,B00-,-59829.978,-2650.0,-26763.842,-56984.248,ColumnPad,0,C,R11-,-59829.978,-2650.0,-64857.886,-1631.343
67438.251,RowPad,11,C,B00-,-59829.978,-2650.0,-26763.842,-56984.248,ColumnPad,0,C,L11+,-59829.978,-2650.0,-65326.616,-1659.478
67334.058,RowPad,11,C,B00-,-59829.978,-2650.0,-26763.842,-56984.248,ColumnPad,0,C,L11-,-59829.978,-2650.0,-64927.886,-1510.1
425.793,RowPad,11,C,T00+,-59829.978,-2650.0,-26973.842,-57404.248,RowPad,11,C,T00-,-59829.978,-2650.0,-26903.842,-56984.248
280.0,RowPad,11,C,T00+,-59829.978,-2650.0,-26973.842,-57404.248,RowPad,11,C,X00+,-59829.978,-2650.0,-26693.842,-57404.248
546.717,RowPad,11,C,T00+,-59829.978,-2650.0,-26973.842,-57404.248,RowPad,11,C,X00-,-59829.978,-2650.0,-26623.842,-56984.248
67524.422,RowPad,11,C,T00+,-59829.978,-2650.0,-26973.842,-57404.248,ColumnPad,0,C,R11+,-59829.978,-2650.0,-65256.616,-1780.721
67422.68,RowPad,11,C,T00+,-59829.978,-2650.0,-26973.842,-57404.248,ColumnPad,0,C,R11-,-59829.978,-2650.0,-64857.886,-1631.343
67663.983,RowPad,11,C,T00+,-59829.978,-2650.0,-26973.842,-57404.248,ColumnPad,0,C,L11+,-59829.978,-2650.0,-65326.616,-1659.478
67562.306,RowPad,11,C,T00+,-59829.978,-2650.0,-26973.842,-57404.248,ColumnPad,0,C,L11-,-59829.978,-2650.0,-64927.886,-1510.1
469.574,RowPad,11,C,T00-,-59829.978,-2650.0,-26903.842,-56984.248,RowPad,11,C,X00+,-59829.978,-2650.0,-26693.842,-57404.248
280.0,RowPad,11,C,T00-,-59829.978,-2650.0,-26903.842,-56984.248,RowPad,11,C,X00-,-59829.978,-2650.0,-26623.842,-56984.248
67218.782,RowPad,11,C,T00-,-59829.978,-2650.0,-26903.842,-56984.248,ColumnPad,0,C,R11+,-59829.978,-2650.0,-65256.616,-1780.721
67115.226,RowPad,11,C,T00-,-59829.978,-2650.0,-26903.842,-56984.248,ColumnPad,0,C,R11-,-59829.978,-2650.0,-64857.886,-1631.343
67358.294,RowPad,11,C,T00-,-59829.978,-2650.0,-26903.842,-56984.248,ColumnPad,0,C,L11+,-59829.978,-2650.0,-65326.616,-1659.478
