distance to pad,"first pad(Gtype,GIndex,GSection,Label)","second pad(Gtype,GIndex,GSection,Label)"
425.7933771208754,[['RowPad' '11' 'C' 'B00+']],[['RowPad' '11' 'C' 'B00-']]
469.5742752749558,[['RowPad' '11' 'C' 'B00-']],[['RowPad' '11' 'C' 'T00+']]
425.7933771208754,[['RowPad' '11' 'C' 'T00+']],[['RowPad' '11' 'C' 'T00-']]
469.5742752749558,[['RowPad' '11' 'C' 'T00-']],[['RowPad' '11' 'C' 'X00+']]
425.7933771208754,[['RowPad' '11' 'C' 'X00+']],[['RowPad' '11' 'C' 'X00-']]
67378.93305904158,[['RowPad' '11' 'C' 'X00-']],[['ColumnPad' '0' 'C' 'R11+']]
425.79267229956235,[['ColumnPad' '0' 'C' 'R11+']],[['ColumnPad' '0' 'C' 'R11-']]
469.57362694789725,[['ColumnPad' '0' 'C' 'R11-']],[['ColumnPad' '0' 'C' 'L11+']]
425.79267229956247,[['ColumnPad' '0' 'C' 'L11+']],[['ColumnPad' '0' 'C' 'L11-']]
67641.05239364509,[['ColumnPad' '0' 'C' 'L11-']],[['RowPad' '11' 'C' 'B00+']]
425.793001097954,[['RowPad' '0' 'A' 'B11+']],[['RowPad' '0' 'A' 'B11-']]
469.5736269478964,[['RowPad' '0' 'A' 'B11-']],[['RowPad' '0' 'A' 'T11+']]
425.793001097954,[['RowPad' '0' 'A' 'T11+']],[['RowPad' '0' 'A' 'T11-']]
62737.78189992968,[['RowPad' '0' 'A' 'T11-']],[['ColumnPad' '11' 'A' 'R00+']]
425.7933771208754,[['ColumnPad' '11' 'A' 'R00+']],[['ColumnPad' '11' 'A' 'R00-']]
469.5742752749558,[['ColumnPad' '11' 'A' 'R00-']],[['ColumnPad' '11' 'A' 'L00+']]
425.7933771208754,[['ColumnPad' '11' 'A' 'L00+']],[['ColumnPad' '11' 'A' 'L00-']]
62509.309439309116,[['ColumnPad' '11' 'A' 'L00-']],[['RowPad' '0' 'A' 'B11+']]
425.7933771208754,[['RowPad' '11' 'C' 'B01+']],[['RowPad' '11' 'C' 'B01-']]
469.5742752749558,[['RowPad' '11' 'C' 'B01-']],[['RowPad' '11' 'C' 'T01+']]
425.7933771208754,[['RowPad' '11' 'C' 'T01+']],[['RowPad' '11' 'C' 'T01-']]
62156.468057059035,[['RowPad' '11' 'C' 'T01-']],[['ColumnPad' '1' 'C' 'R11+']]
425.7926722995623,[['ColumnPad' '1' 'C' 'R11+']],[['ColumnPad' '1' 'C' 'R11-']]
469.57362694789725,[['ColumnPad' '1' 'C' 'R11-']],[['ColumnPad' '1' 'C' 'L11+']]
425.79267229956264,[['ColumnPad' '1' 'C' 'L11+']],[['ColumnPad' '1' 'C' 'L11-']]
62577.203563628056,[['ColumnPad' '1' 'C' 'L11-']],[['RowPad' '11' 'C' 'B01+']]
425.79300109795344,[['RowPad' '1' 'A' 'B11+']],[['RowPad' '1' 'A' 'B11-']]
469.57362694789566,[['RowPad' '1' 'A' 'B11-']],[['RowPad' '1' 'A' 'T11+']]
425.79300109795344,[['RowPad' '1' 'A' 'T11+']],[['RowPad' '1' 'A' 'T11-']]
57971.94008468873,[['RowPad' '1' 'A' 'T11-']],[['ColumnPad' '11' 'A' 'R01+']]
425.7933771208754,[['ColumnPad' '11' 'A' 'R01+']],[['ColumnPad' '11' 'A' 'R01-']]
469.5742752749558,[['ColumnPad' '11' 'A' 'R01-']],[['ColumnPad' '11' 'A' 'L01+']]
425.7933771208754,[['ColumnPad' '11' 'A' 'L01+']],[['ColumnPad' '11' 'A' 'L01-']]
57748.92842788865,[['ColumnPad' '11' 'A' 'L01-']],[['RowPad' '1' 'A' 'B11+']]
425.7933771208754,[['RowPad' '11' 'C' 'B02+']],[['RowPad' '11' 'C' 'B02-']]
469.5742752749558,[['RowPad' '11' 'C' 'B02-']],[['RowPad' '11' 'C' 'T02+']]
425.7933771208754,[['RowPad' '11' 'C' 'T02+']],[['RowPad' '11' 'C' 'T02-']]
56716.31926333976,[['RowPad' '11' 'C' 'T02-']],[['ColumnPad' '2' 'C' 'R11+']]
425.79267229956264,[['ColumnPad' '2' 'C' 'R11+']],[['ColumnPad' '2' 'C' 'R11-']]
469.5735670329017,[['ColumnPad' '2' 'C' 'R11-']],[['ColumnPad' '2' 'C' 'L11+']]
425.792672299562,[['ColumnPad' '2' 'C' 'L11+']],[['ColumnPad' '2' 'C' 'L11-']]
57134.90348450846,[['ColumnPad' '2' 'C' 'L11-']],[['RowPad' '11' 'C' 'B02+']]
425.7933771208754,[['RowPad' '10' 'C' 'B00+']],[['RowPad' '10' 'C' 'B00-']]
469.5742752749558,[['RowPad' '10' 'C' 'B00-']],[['RowPad' '10' 'C' 'T00+']]
425.7933771208754,[['RowPad' '10' 'C' 'T00+']],[['RowPad' '10' 'C' 'T00-']]
469.5742752749558,[['RowPad' '10' 'C' 'T00-']],[['RowPad' '10' 'C' 'X00+']]
425.7933771208754,[['RowPad' '10' 'C' 'X00+']],[['RowPad' '10' 'C' 'X00-']]
70274.62459931463,[['RowPad' '10' 'C' 'X00-']],[['ColumnPad' '0' 'C' 'R10+']]
425.79302312391474,[['ColumnPad' '0' 'C' 'R10+']],[['ColumnPad' '0' 'C' 'R10-']]
469.57362694789725,[['ColumnPad' '0' 'C' 'R10-']],[['ColumnPad' '0' 'C' 'L10+']]
425.79267229956235,[['ColumnPad' '0' 'C' 'L10+']],[['ColumnPad' '0' 'C' 'L10-']]
70484.18045499895,[['ColumnPad' '0' 'C' 'L10-']],[['RowPad' '10' 'C' 'B00+']]
425.7930010979537,[['RowPad' '0' 'A' 'B10+']],[['RowPad' '0' 'A' 'B10-']]
469.573626947896,[['RowPad' '0' 'A' 'B10-']],[['RowPad' '0' 'A' 'T10+']]
425.793001097954,[['RowPad' '0' 'A' 'T10+']],[['RowPad' '0' 'A' 'T10-']]
65991.45767399817,[['RowPad' '0' 'A' 'T10-']],[['ColumnPad' '10' 'A' 'R00+']]
425.7933771208754,[['ColumnPad' '10' 'A' 'R00+']],[['ColumnPad' '10' 'A' 'R00-']]
469.5742752749558,[['ColumnPad' '10' 'A' 'R00-']],[['ColumnPad' '10' 'A' 'L00+']]
425.7933771208754,[['ColumnPad' '10' 'A' 'L00+']],[['ColumnPad' '10' 'A' 'L00-']]
65810.94607422159,[['ColumnPad' '10' 'A' 'L00-']],[['RowPad' '0' 'A' 'B10+']]
425.79236552691106,[['RowPad' '2' 'A' 'B11+']],[['RowPad' '2' 'A' 'B11-']]
