"distance  from  first pad(Gtype,GIndex,GSection,Label) to second pad"
"0.0, ['RowPad', 0, 'A', 'X00+'], ['RowPad', 0, 'A', 'B00+']"
"5300.0, ['RowPad', 0, 'A', 'T01+'], ['RowPad', 0, 'A', 'X00-']"
"10600.0, ['RowPad', 0, 'A', 'X00-'], ['RowPad', 0, 'A', 'B02+']"
"61122.58177878471, ['RowPad', 0, 'A', 'T11-'], ['RowPad', 1, 'A', 'X00+']"
"0.0, ['RowPad', 1, 'A', 'X00+'], ['RowPad', 1, 'A', 'B00+']"
"5300.0, ['RowPad', 1, 'A', 'T01+'], ['RowPad', 1, 'A', 'X00-']"
"10600.0, ['RowPad', 1, 'A', 'X00-'], ['RowPad', 1, 'A', 'B02+']"
"61122.58170369079, ['RowPad', 1, 'A', 'T11-'], ['RowPad', 2, 'A', 'X00+']"
"0.0, ['RowPad', 2, 'A', 'X00+'], ['RowPad', 2, 'A', 'B00+']"
"5300.0, ['RowPad', 2, 'A', 'T01+'], ['RowPad', 2, 'A', 'X00-']"
"10600.0, ['RowPad', 2, 'A', 'X00-'], ['RowPad', 2, 'A', 'B02+']"
"61122.58177878471, ['RowPad', 2, 'A', 'T11-'], ['RowPad', 3, 'A', 'X00+']"
"0.0, ['RowPad', 3, 'A', 'X00+'], ['RowPad', 3, 'A', 'B00+']"
"5300.0, ['RowPad', 3, 'A', 'T01+'], ['RowPad', 3, 'A', 'X00-']"
"10600.0, ['RowPad', 3, 'A', 'X00-'], ['RowPad', 3, 'A', 'B02+']"
"61122.58177878471, ['RowPad', 3, 'A', 'T11-'], ['RowPad', 4, 'A', 'X00+']"
"0.0, ['RowPad', 4, 'A', 'X00+'], ['RowPad', 4, 'A', 'B00+']"
"5300.000000000001, ['RowPad', 4, 'A', 'T01+'], ['RowPad', 4, 'A', 'X00-']"
"10600.0, ['RowPad', 4, 'A', 'X00-'], ['RowPad', 4, 'A', 'B02+']"
"61122.58170369079, ['RowPad', 4, 'A', 'T11-'], ['RowPad', 5, 'A', 'X00+']"
"0.0, ['RowPad', 5, 'A', 'X00+'], ['RowPad', 5, 'A', 'B00+']"
"5300.000000000001, ['RowPad', 5, 'A', 'T01+'], ['RowPad', 5, 'A', 'X00-']"
"10600.0, ['RowPad', 5, 'A', 'X00-'], ['RowPad', 5, 'A', 'B02+']"
"61122.58177878471, ['RowPad', 5, 'A', 'T11-'], ['RowPad', 6, 'A', 'X00+']"
"0.0, ['RowPad', 6, 'A', 'X00+'], ['RowPad', 6, 'A', 'B00+']"
"5300.0, ['RowPad', 6, 'A', 'T01+'], ['RowPad', 6, 'A', 'X00-']"
"10600.0, ['RowPad', 6, 'A', 'X00-'], ['RowPad', 6, 'A', 'B02+']"
"61122.58170369079, ['RowPad', 6, 'A', 'T11-'], ['RowPad', 7, 'A', 'X00+']"
"0.0, ['RowPad', 7, 'A', 'X00+'], ['RowPad', 7, 'A', 'B00+']"
"5300.0, ['RowPad', 7, 'A', 'T01+'], ['RowPad', 7, 'A', 'X00-']"
"10600.0, ['RowPad', 7, 'A', 'X00-'], ['RowPad', 7, 'A', 'B02+']"
"61122.58177878471, ['RowPad', 7, 'A', 'T11-'], ['RowPad', 8, 'A', 'X00+']"
"0.0, ['RowPad', 8, 'A', 'X00+'], ['RowPad', 8, 'A', 'B00+']"
"5300.0, ['RowPad', 8, 'A', 'T01+'], ['RowPad', 8, 'A', 'X00-']"
"10600.0, ['RowPad', 8, 'A', 'X00-'], ['RowPad', 8, 'A', 'B02+']"
"61122.58177878471, ['RowPad', 8, 'A', 'T11-'], ['RowPad', 9, 'A', 'X00+']"
"0.0, ['RowPad', 9, 'A', 'X00+'], ['RowPad', 9, 'A', 'B00+']"
"5300.0, ['RowPad', 9, 'A', 'T01+'], ['RowPad', 9, 'A', 'X00-']"
"10600.0, ['RowPad', 9, 'A', 'X00-'], ['RowPad', 9, 'A', 'B02+']"
"61122.58170369079, ['RowPad', 9, 'A', 'T11-'], ['RowPad', 10, 'A', 'X00+']"
"0.0, ['RowPad', 10, 'A', 'X00+'], ['RowPad', 10, 'A', 'B00+']"
"5300.0, ['RowPad', 10, 'A', 'T01+'], ['RowPad', 10, 'A', 'X00-']"
"10600.0, ['RowPad', 10, 'A', 'X00-'], ['RowPad', 10, 'A', 'B02+']"
"61122.58177878471, ['RowPad', 10, 'A', 'T11-'], ['RowPad', 11, 'A', 'X00+']"
"0.0, ['RowPad', 11, 'A', 'X00+'], ['RowPad', 11, 'A', 'B00+']"
"5300.0, ['RowPad', 11, 'A', 'T01+'], ['RowPad', 11, 'A', 'X00-']"
"10600.0, ['RowPad', 11, 'A', 'X00-'], ['RowPad', 11, 'A', 'B02+']"
