distance to pixel,"first pad(Gtype,GIndex,GSection,Label)","second pad(Gtype,GIndex,GSection,Label)"
0.0,"['RowPad', 0, 'A', 'X00+']","['RowPad', 0, 'A', 'B00+']"
0.0,"['RowPad', 0, 'A', 'B00+']","['RowPad', 0, 'A', 'T00+']"
5300.0,"['RowPad', 0, 'A', 'T00+']","['RowPad', 0, 'A', 'B01+']"
0.0,"['RowPad', 0, 'A', 'B01+']","['RowPad', 0, 'A', 'T01+']"
5300.0,"['RowPad', 0, 'A', 'T01+']","['RowPad', 0, 'A', 'X00-']"
10600.0,"['RowPad', 0, 'A', 'X00-']","['RowPad', 0, 'A', 'B02+']"
10600.0,"['RowPad', 0, 'A', 'B02+']","['RowPad', 0, 'A', 'B00-']"
10600.0,"['RowPad', 0, 'A', 'B00-']","['RowPad', 0, 'A', 'T02+']"
10600.0,"['RowPad', 0, 'A', 'T02+']","['RowPad', 0, 'A', 'T00-']"
15900.0,"['RowPad', 0, 'A', 'T00-']","['RowPad', 0, 'A', 'B03+']"
10600.0,"['RowPad', 0, 'A', 'B03+']","['RowPad', 0, 'A', 'B01-']"
10600.0,"['RowPad', 0, 'A', 'B01-']","['RowPad', 0, 'A', 'T03+']"
10600.0,"['RowPad', 0, 'A', 'T03+']","['RowPad', 0, 'A', 'T01-']"
15900.0,"['RowPad', 0, 'A', 'T01-']","['RowPad', 0, 'A', 'B04+']"
10600.0,"['RowPad', 0, 'A', 'B04+']","['RowPad', 0, 'A', 'B02-']"
10600.0,"['RowPad', 0, 'A', 'B02-']","['RowPad', 0, 'A', 'T04+']"
10600.0,"['RowPad', 0, 'A', 'T04+']","['RowPad', 0, 'A', 'T02-']"
15900.0,"['RowPad', 0, 'A', 'T02-']","['RowPad', 0, 'A', 'B05+']"
10600.0,"['RowPad', 0, 'A', 'B05+']","['RowPad', 0, 'A', 'B03-']"
10600.0,"['RowPad', 0, 'A', 'B03-']","['RowPad', 0, 'A', 'T05+']"
10600.0,"['RowPad', 0, 'A', 'T05+']","['RowPad', 0, 'A', 'T03-']"
15900.000000000004,"['RowPad', 0, 'A', 'T03-']","['RowPad', 0, 'A', 'B06+']"
10600.000000000004,"['RowPad', 0, 'A', 'B06+']","['RowPad', 0, 'A', 'B04-']"
10600.000000000004,"['RowPad', 0, 'A', 'B04-']","['RowPad', 0, 'A', 'T06+']"
10600.000000000004,"['RowPad', 0, 'A', 'T06+']","['RowPad', 0, 'A', 'T04-']"
15900.000000000004,"['RowPad', 0, 'A', 'T04-']","['RowPad', 0, 'A', 'B07+']"
10600.000000000004,"['RowPad', 0, 'A', 'B07+']","['RowPad', 0, 'A', 'B05-']"
10600.000000000004,"['RowPad', 0, 'A', 'B05-']","['RowPad', 0, 'A', 'T07+']"
10600.000000000004,"['RowPad', 0, 'A', 'T07+']","['RowPad', 0, 'A', 'T05-']"
15900.000000000004,"['RowPad', 0, 'A', 'T05-']","['RowPad', 0, 'A', 'B08+']"
10600.0,"['RowPad', 0, 'A', 'B08+']","['RowPad', 0, 'A', 'B06-']"
10600.0,"['RowPad', 0, 'A', 'B06-']","['RowPad', 0, 'A', 'T08+']"
10600.0,"['RowPad', 0, 'A', 'T08+']","['RowPad', 0, 'A', 'T06-']"
15900.0,"['RowPad', 0, 'A', 'T06-']","['RowPad', 0, 'A', 'B09+']"
10600.0,"['RowPad', 0, 'A', 'B09+']","['RowPad', 0, 'A', 'B07-']"
10600.0,"['RowPad', 0, 'A', 'B07-']","['RowPad', 0, 'A', 'T09+']"
10600.0,"['RowPad', 0, 'A', 'T09+']","['RowPad', 0, 'A', 'T07-']"
15900.0,"['RowPad', 0, 'A', 'T07-']","['RowPad', 0, 'A', 'B10+']"
10600.0,"['RowPad', 0, 'A', 'B10+']","['RowPad', 0, 'A', 'B08-']"
10600.0,"['RowPad', 0, 'A', 'B08-']","['RowPad', 0, 'A', 'T10+']"
10600.0,"['RowPad', 0, 'A', 'T10+']","['RowPad', 0, 'A', 'T08-']"
15900.0,"['RowPad', 0, 'A', 'T08-']","['RowPad', 0, 'A', 'B11+']"
10600.0,"['RowPad', 0, 'A', 'B11+']","['RowPad', 0, 'A', 'B09-']"
10600.0,"['RowPad', 0, 'A', 'B09-']","['RowPad', 0, 'A', 'T11+']"
10600.0,"['RowPad', 0, 'A', 'T11+']","['RowPad', 0, 'A', 'T09-']"
5300.0,"['RowPad', 0, 'A', 'T09-']","['RowPad', 0, 'A', 'B10-']"
0.0,"['RowPad', 0, 'A', 'B10-']","['RowPad', 0, 'A', 'T10-']"
5300.0,"['RowPad', 0, 'A', 'T10-']","['RowPad', 0, 'A', 'B11-']"
0.0,"['RowPad', 0, 'A', 'B11-']","['RowPad', 0, 'A', 'T11-']"
61122.58177878471,"['RowPad', 0, 'A', 'T11-']","['RowPad', 1, 'A', 'X00+']"
0.0,"['RowPad', 1, 'A', 'X00+']","['RowPad', 1, 'A', 'B00+']"
0.0,"['RowPad', 1, 'A', 'B00+']","['RowPad', 1, 'A', 'T00+']"
5300.0,"['RowPad', 1, 'A', 'T00+']","['RowPad', 1, 'A', 'B01+']"
0.0,"['RowPad', 1, 'A', 'B01+']","['RowPad', 1, 'A', 'T01+']"
5300.0,"['RowPad', 1, 'A', 'T01+']","['RowPad', 1, 'A', 'X00-']"
10600.0,"['RowPad', 1, 'A', 'X00-']","['RowPad', 1, 'A', 'B02+']"
10600.0,"['RowPad', 1, 'A', 'B02+']","['RowPad', 1, 'A', 'B00-']"
10600.0,"['RowPad', 1, 'A', 'B00-']","['RowPad', 1, 'A', 'T02+']"
10600.0,"['RowPad', 1, 'A', 'T02+']","['RowPad', 1, 'A', 'T00-']"
15900.0,"['RowPad', 1, 'A', 'T00-']","['RowPad', 1, 'A', 'B03+']"
10600.0,"['RowPad', 1, 'A', 'B03+']","['RowPad', 1, 'A', 'B01-']"
10600.0,"['RowPad', 1, 'A', 'B01-']","['RowPad', 1, 'A', 'T03+']"
10600.0,"['RowPad', 1, 'A', 'T03+']","['RowPad', 1, 'A', 'T01-']"
15900.0,"['RowPad', 1, 'A', 'T01-']","['RowPad', 1, 'A', 'B04+']"
10600.0,"['RowPad', 1, 'A', 'B04+']","['RowPad', 1, 'A', 'B02-']"
10600.0,"['RowPad', 1, 'A', 'B02-']","['RowPad', 1, 'A', 'T04+']"
10600.0,"['RowPad', 1, 'A', 'T04+']","['RowPad', 1, 'A', 'T02-']"
15900.0,"['RowPad', 1, 'A', 'T02-']","['RowPad', 1, 'A', 'B05+']"
10600.0,"['RowPad', 1, 'A', 'B05+']","['RowPad', 1, 'A', 'B03-']"
10600.0,"['RowPad', 1, 'A', 'B03-']","['RowPad', 1, 'A', 'T05+']"
10600.0,"['RowPad', 1, 'A', 'T05+']","['RowPad', 1, 'A', 'T03-']"
15900.0,"['RowPad', 1, 'A', 'T03-']","['RowPad', 1, 'A', 'B06+']"
10600.0,"['RowPad', 1, 'A', 'B06+']","['RowPad', 1, 'A', 'B04-']"
10600.0,"['RowPad', 1, 'A', 'B04-']","['RowPad', 1, 'A', 'T06+']"
10600.0,"['RowPad', 1, 'A', 'T06+']","['RowPad', 1, 'A', 'T04-']"
15900.000000000004,"['RowPad', 1, 'A', 'T04-']","['RowPad', 1, 'A', 'B07+']"
10600.000000000004,"['RowPad', 1, 'A', 'B07+']","['RowPad', 1, 'A', 'B05-']"
10600.000000000004,"['RowPad', 1, 'A', 'B05-']","['RowPad', 1, 'A', 'T07+']"
10600.000000000004,"['RowPad', 1, 'A', 'T07+']","['RowPad', 1, 'A', 'T05-']"
15900.000000000004,"['RowPad', 1, 'A', 'T05-']","['RowPad', 1, 'A', 'B08+']"
10600.000000000004,"['RowPad', 1, 'A', 'B08+']","['RowPad', 1, 'A', 'B06-']"
10600.000000000004,"['RowPad', 1, 'A', 'B06-']","['RowPad', 1, 'A', 'T08+']"
10600.000000000004,"['RowPad', 1, 'A', 'T08+']","['RowPad', 1, 'A', 'T06-']"
15900.000000000004,"['RowPad', 1, 'A', 'T06-']","['RowPad', 1, 'A', 'B09+']"
10600.0,"['RowPad', 1, 'A', 'B09+']","['RowPad', 1, 'A', 'B07-']"
10600.0,"['RowPad', 1, 'A', 'B07-']","['RowPad', 1, 'A', 'T09+']"
10600.0,"['RowPad', 1, 'A', 'T09+']","['RowPad', 1, 'A', 'T07-']"
15900.0,"['RowPad', 1, 'A', 'T07-']","['RowPad', 1, 'A', 'B10+']"
10600.0,"['RowPad', 1, 'A', 'B10+']","['RowPad', 1, 'A', 'B08-']"
10600.0,"['RowPad', 1, 'A', 'B08-']","['RowPad', 1, 'A', 'T10+']"
10600.0,"['RowPad', 1, 'A', 'T10+']","['RowPad', 1, 'A', 'T08-']"
15900.0,"['RowPad', 1, 'A', 'T08-']","['RowPad', 1, 'A', 'B11+']"
10600.0,"['RowPad', 1, 'A', 'B11+']","['RowPad', 1, 'A', 'B09-']"
10600.0,"['RowPad', 1, 'A', 'B09-']","['RowPad', 1, 'A', 'T11+']"
10600.0,"['RowPad', 1, 'A', 'T11+']","['RowPad', 1, 'A', 'T09-']"
5300.0,"['RowPad', 1, 'A', 'T09-']","['RowPad', 1, 'A', 'B10-']"
0.0,"['RowPad', 1, 'A', 'B10-']","['RowPad', 1, 'A', 'T10-']"
5300.0,"['RowPad', 1, 'A', 'T10-']","['RowPad', 1, 'A', 'B11-']"
0.0,"['RowPad', 1, 'A', 'B11-']","['RowPad', 1, 'A', 'T11-']"
61122.58170369079,"['RowPad', 1, 'A', 'T11-']","['RowPad', 2, 'A', 'X00+']"
0.0,"['RowPad', 2, 'A', 'X00+']","['RowPad', 2, 'A', 'B00+']"
0.0,"['RowPad', 2, 'A', 'B00+']","['RowPad', 2, 'A', 'T00+']"
5300.0,"['RowPad', 2, 'A', 'T00+']","['RowPad', 2, 'A', 'B01+']"
0.0,"['RowPad', 2, 'A', 'B01+']","['RowPad', 2, 'A', 'T01+']"
5300.0,"['RowPad', 2, 'A', 'T01+']","['RowPad', 2, 'A', 'X00-']"
10600.0,"['RowPad', 2, 'A', 'X00-']","['RowPad', 2, 'A', 'B02+']"
10600.0,"['RowPad', 2, 'A', 'B02+']","['RowPad', 2, 'A', 'B00-']"
10600.0,"['RowPad', 2, 'A', 'B00-']","['RowPad', 2, 'A', 'T02+']"
10600.0,"['RowPad', 2, 'A', 'T02+']","['RowPad', 2, 'A', 'T00-']"
15900.0,"['RowPad', 2, 'A', 'T00-']","['RowPad', 2, 'A', 'B03+']"
10600.0,"['RowPad', 2, 'A', 'B03+']","['RowPad', 2, 'A', 'B01-']"
10600.0,"['RowPad', 2, 'A', 'B01-']","['RowPad', 2, 'A', 'T03+']"
10600.0,"['RowPad', 2, 'A', 'T03+']","['RowPad', 2, 'A', 'T01-']"
15900.0,"['RowPad', 2, 'A', 'T01-']","['RowPad', 2, 'A', 'B04+']"
10600.0,"['RowPad', 2, 'A', 'B04+']","['RowPad', 2, 'A', 'B02-']"
10600.0,"['RowPad', 2, 'A', 'B02-']","['RowPad', 2, 'A', 'T04+']"
10600.0,"['RowPad', 2, 'A', 'T04+']","['RowPad', 2, 'A', 'T02-']"
15900.0,"['RowPad', 2, 'A', 'T02-']","['RowPad', 2, 'A', 'B05+']"
10600.0,"['RowPad', 2, 'A', 'B05+']","['RowPad', 2, 'A', 'B03-']"
10600.0,"['RowPad', 2, 'A', 'B03-']","['RowPad', 2, 'A', 'T05+']"
10600.0,"['RowPad', 2, 'A', 'T05+']","['RowPad', 2, 'A', 'T03-']"
15900.0,"['RowPad', 2, 'A', 'T03-']","['RowPad', 2, 'A', 'B06+']"
10600.0,"['RowPad', 2, 'A', 'B06+']","['RowPad', 2, 'A', 'B04-']"
10600.0,"['RowPad', 2, 'A', 'B04-']","['RowPad', 2, 'A', 'T06+']"
10600.0,"['RowPad', 2, 'A', 'T06+']","['RowPad', 2, 'A', 'T04-']"
15900.000000000004,"['RowPad', 2, 'A', 'T04-']","['RowPad', 2, 'A', 'B07+']"
10600.000000000004,"['RowPad', 2, 'A', 'B07+']","['RowPad', 2, 'A', 'B05-']"
10600.000000000004,"['RowPad', 2, 'A', 'B05-']","['RowPad', 2, 'A', 'T07+']"
10600.000000000004,"['RowPad', 2, 'A', 'T07+']","['RowPad', 2, 'A', 'T05-']"
15900.000000000004,"['RowPad', 2, 'A', 'T05-']","['RowPad', 2, 'A', 'B08+']"
10600.000000000004,"['RowPad', 2, 'A', 'B08+']","['RowPad', 2, 'A', 'B06-']"
10600.000000000004,"['RowPad', 2, 'A', 'B06-']","['RowPad', 2, 'A', 'T08+']"
10600.000000000004,"['RowPad', 2, 'A', 'T08+']","['RowPad', 2, 'A', 'T06-']"
15900.000000000004,"['RowPad', 2, 'A', 'T06-']","['RowPad', 2, 'A', 'B09+']"
10600.0,"['RowPad', 2, 'A', 'B09+']","['RowPad', 2, 'A', 'B07-']"
10600.0,"['RowPad', 2, 'A', 'B07-']","['RowPad', 2, 'A', 'T09+']"
10600.0,"['RowPad', 2, 'A', 'T09+']","['RowPad', 2, 'A', 'T07-']"
15900.0,"['RowPad', 2, 'A', 'T07-']","['RowPad', 2, 'A', 'B10+']"
10600.0,"['RowPad', 2, 'A', 'B10+']","['RowPad', 2, 'A', 'B08-']"
10600.0,"['RowPad', 2, 'A', 'B08-']","['RowPad', 2, 'A', 'T10+']"
10600.0,"['RowPad', 2, 'A', 'T10+']","['RowPad', 2, 'A', 'T08-']"
15900.0,"['RowPad', 2, 'A', 'T08-']","['RowPad', 2, 'A', 'B11+']"
10600.0,"['RowPad', 2, 'A', 'B11+']","['RowPad', 2, 'A', 'B09-']"
10600.0,"['RowPad', 2, 'A', 'B09-']","['RowPad', 2, 'A', 'T11+']"
10600.0,"['RowPad', 2, 'A', 'T11+']","['RowPad', 2, 'A', 'T09-']"
5300.0,"['RowPad', 2, 'A', 'T09-']","['RowPad', 2, 'A', 'B10-']"
0.0,"['RowPad', 2, 'A', 'B10-']","['RowPad', 2, 'A', 'T10-']"
5300.0,"['RowPad', 2, 'A', 'T10-']","['RowPad', 2, 'A', 'B11-']"
0.0,"['RowPad', 2, 'A', 'B11-']","['RowPad', 2, 'A', 'T11-']"
61122.58177878471,"['RowPad', 2, 'A', 'T11-']","['RowPad', 3, 'A', 'X00+']"
0.0,"['RowPad', 3, 'A', 'X00+']","['RowPad', 3, 'A', 'B00+']"
0.0,"['RowPad', 3, 'A', 'B00+']","['RowPad', 3, 'A', 'T00+']"
5300.0,"['RowPad', 3, 'A', 'T00+']","['RowPad', 3, 'A', 'B01+']"
0.0,"['RowPad', 3, 'A', 'B01+']","['RowPad', 3, 'A', 'T01+']"
5300.0,"['RowPad', 3, 'A', 'T01+']","['RowPad', 3, 'A', 'X00-']"
10600.0,"['RowPad', 3, 'A', 'X00-']","['RowPad', 3, 'A', 'B02+']"
10600.0,"['RowPad', 3, 'A', 'B02+']","['RowPad', 3, 'A', 'B00-']"
10600.0,"['RowPad', 3, 'A', 'B00-']","['RowPad', 3, 'A', 'T02+']"
10600.0,"['RowPad', 3, 'A', 'T02+']","['RowPad', 3, 'A', 'T00-']"
15900.0,"['RowPad', 3, 'A', 'T00-']","['RowPad', 3, 'A', 'B03+']"
10600.0,"['RowPad', 3, 'A', 'B03+']","['RowPad', 3, 'A', 'B01-']"
10600.0,"['RowPad', 3, 'A', 'B01-']","['RowPad', 3, 'A', 'T03+']"
10600.0,"['RowPad', 3, 'A', 'T03+']","['RowPad', 3, 'A', 'T01-']"
15900.0,"['RowPad', 3, 'A', 'T01-']","['RowPad', 3, 'A', 'B04+']"
10600.0,"['RowPad', 3, 'A', 'B04+']","['RowPad', 3, 'A', 'B02-']"
10600.0,"['RowPad', 3, 'A', 'B02-']","['RowPad', 3, 'A', 'T04+']"
10600.0,"['RowPad', 3, 'A', 'T04+']","['RowPad', 3, 'A', 'T02-']"
15900.0,"['RowPad', 3, 'A', 'T02-']","['RowPad', 3, 'A', 'B05+']"
10600.0,"['RowPad', 3, 'A', 'B05+']","['RowPad', 3, 'A', 'B03-']"
10600.0,"['RowPad', 3, 'A', 'B03-']","['RowPad', 3, 'A', 'T05+']"
10600.0,"['RowPad', 3, 'A', 'T05+']","['RowPad', 3, 'A', 'T03-']"
15900.0,"['RowPad', 3, 'A', 'T03-']","['RowPad', 3, 'A', 'B06+']"
10600.0,"['RowPad', 3, 'A', 'B06+']","['RowPad', 3, 'A', 'B04-']"
10600.0,"['RowPad', 3, 'A', 'B04-']","['RowPad', 3, 'A', 'T06+']"
10600.0,"['RowPad', 3, 'A', 'T06+']","['RowPad', 3, 'A', 'T04-']"
15900.0,"['RowPad', 3, 'A', 'T04-']","['RowPad', 3, 'A', 'B07+']"
10600.0,"['RowPad', 3, 'A', 'B07+']","['RowPad', 3, 'A', 'B05-']"
10600.0,"['RowPad', 3, 'A', 'B05-']","['RowPad', 3, 'A', 'T07+']"
10600.0,"['RowPad', 3, 'A', 'T07+']","['RowPad', 3, 'A', 'T05-']"
15900.000000000004,"['RowPad', 3, 'A', 'T05-']","['RowPad', 3, 'A', 'B08+']"
10600.000000000004,"['RowPad', 3, 'A', 'B08+']","['RowPad', 3, 'A', 'B06-']"
10600.000000000004,"['RowPad', 3, 'A', 'B06-']","['RowPad', 3, 'A', 'T08+']"
10600.000000000004,"['RowPad', 3, 'A', 'T08+']","['RowPad', 3, 'A', 'T06-']"
15900.000000000004,"['RowPad', 3, 'A', 'T06-']","['RowPad', 3, 'A', 'B09+']"
10600.000000000004,"['RowPad', 3, 'A', 'B09+']","['RowPad', 3, 'A', 'B07-']"
10600.000000000004,"['RowPad', 3, 'A', 'B07-']","['RowPad', 3, 'A', 'T09+']"
10600.000000000004,"['RowPad', 3, 'A', 'T09+']","['RowPad', 3, 'A', 'T07-']"
15900.000000000004,"['RowPad', 3, 'A', 'T07-']","['RowPad', 3, 'A', 'B10+']"
10600.0,"['RowPad', 3, 'A', 'B10+']","['RowPad', 3, 'A', 'B08-']"
10600.0,"['RowPad', 3, 'A', 'B08-']","['RowPad', 3, 'A', 'T10+']"
10600.0,"['RowPad', 3, 'A', 'T10+']","['RowPad', 3, 'A', 'T08-']"
15900.0,"['RowPad', 3, 'A', 'T08-']","['RowPad', 3, 'A', 'B11+']"
10600.0,"['RowPad', 3, 'A', 'B11+']","['RowPad', 3, 'A', 'B09-']"
10600.0,"['RowPad', 3, 'A', 'B09-']","['RowPad', 3, 'A', 'T11+']"
10600.0,"['RowPad', 3, 'A', 'T11+']","['RowPad', 3, 'A', 'T09-']"
5300.0,"['RowPad', 3, 'A', 'T09-']","['RowPad', 3, 'A', 'B10-']"
0.0,"['RowPad', 3, 'A', 'B10-']","['RowPad', 3, 'A', 'T10-']"
5300.0,"['RowPad', 3, 'A', 'T10-']","['RowPad', 3, 'A', 'B11-']"
0.0,"['RowPad', 3, 'A', 'B11-']","['RowPad', 3, 'A', 'T11-']"
61122.58177878471,"['RowPad', 3, 'A', 'T11-']","['RowPad', 4, 'A', 'X00+']"
