"pad info 1(Gtype,GIndex,GSection,Label)",pad info 2,pixel position
"['RowPad', 0, 'A', 'X00+']","['RowPad', 0, 'A', 'B00+']","[-1529.978, 2650.0]"
"['RowPad', 0, 'A', 'B00+']","['RowPad', 0, 'A', 'T00+']","[-1529.978, 2650.0]"
"['RowPad', 0, 'A', 'B01+']","['RowPad', 0, 'A', 'T01+']","[-6829.978, 2650.0]"
"['RowPad', 0, 'A', 'B10-']","['RowPad', 0, 'A', 'T10-']","[-54529.978, 2650.0]"
"['RowPad', 0, 'A', 'B11-']","['RowPad', 0, 'A', 'T11-']","[-59829.978, 2650.0]"
"['RowPad', 1, 'A', 'X00+']","['RowPad', 1, 'A', 'B00+']","[1120.022, 7239.935]"
"['RowPad', 1, 'A', 'B00+']","['RowPad', 1, 'A', 'T00+']","[1120.022, 7239.935]"
"['RowPad', 1, 'A', 'B01+']","['RowPad', 1, 'A', 'T01+']","[-4179.978, 7239.935]"
"['RowPad', 1, 'A', 'B10-']","['RowPad', 1, 'A', 'T10-']","[-51879.978, 7239.935]"
"['RowPad', 1, 'A', 'B11-']","['RowPad', 1, 'A', 'T11-']","[-57179.978, 7239.935]"
"['RowPad', 2, 'A', 'X00+']","['RowPad', 2, 'A', 'B00+']","[3770.022, 11829.869]"
"['RowPad', 2, 'A', 'B00+']","['RowPad', 2, 'A', 'T00+']","[3770.022, 11829.869]"
"['RowPad', 2, 'A', 'B01+']","['RowPad', 2, 'A', 'T01+']","[-1529.978, 11829.869]"
"['RowPad', 2, 'A', 'B10-']","['RowPad', 2, 'A', 'T10-']","[-49229.978, 11829.869]"
"['RowPad', 2, 'A', 'B11-']","['RowPad', 2, 'A', 'T11-']","[-54529.978, 11829.869]"
"['RowPad', 3, 'A', 'X00+']","['RowPad', 3, 'A', 'B00+']","[6420.022, 16419.804]"
"['RowPad', 3, 'A', 'B00+']","['RowPad', 3, 'A', 'T00+']","[6420.022, 16419.804]"
"['RowPad', 3, 'A', 'B01+']","['RowPad', 3, 'A', 'T01+']","[1120.022, 16419.804]"
"['RowPad', 3, 'A', 'B10-']","['RowPad', 3, 'A', 'T10-']","[-46579.978, 16419.804]"
"['RowPad', 3, 'A', 'B11-']","['RowPad', 3, 'A', 'T11-']","[-51879.978, 16419.804]"
"['RowPad', 4, 'A', 'X00+']","['RowPad', 4, 'A', 'B00+']","[9070.022, 21009.739]"
"['RowPad', 4, 'A', 'B00+']","['RowPad', 4, 'A', 'T00+']","[9070.022, 21009.739]"
"['RowPad', 4, 'A', 'B01+']","['RowPad', 4, 'A', 'T01+']","[3770.022, 21009.739]"
"['RowPad', 4, 'A', 'B10-']","['RowPad', 4, 'A', 'T10-']","[-43929.978, 21009.739]"
"['RowPad', 4, 'A', 'B11-']","['RowPad', 4, 'A', 'T11-']","[-49229.978, 21009.739]"
"['RowPad', 5, 'A', 'X00+']","['RowPad', 5, 'A', 'B00+']","[11720.022, 25599.673]"
