pixel distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
0.0,RowPad,0,C,X00-,-1529.978,-2650.0,31296.158,-56984.248,RowPad,0,C,X00+,-1529.978,-2650.0,31226.158,-57404.248
0.0,RowPad,1,C,X00-,-6829.978,-2650.0,26376.158,-56984.248,RowPad,1,C,X00+,-6829.978,-2650.0,26306.158,-57404.248
0.0,RowPad,2,C,X00-,-12129.978,-2650.0,21076.158,-56984.248,RowPad,2,C,X00+,-12129.978,-2650.0,21006.158,-57404.248
0.0,RowPad,3,C,X00-,-17429.978,-2650.0,15776.158,-56984.248,RowPad,3,C,X00+,-17429.978,-2650.0,15706.158,-57404.248
0.0,RowPad,4,C,X00-,-22729.978,-2650.0,10476.158,-56984.248,RowPad,4,C,X00+,-22729.978,-2650.0,10406.158,-57404.248
0.0,RowPad,5,C,X00-,-28029.978,-2650.0,5176.158,-56984.248,RowPad,5,C,X00+,-28029.978,-2650.0,5106.158,-57404.248
0.0,RowPad,6,C,X00-,-33329.978,-2650.0,-123.842,-56984.248,RowPad,6,C,X00+,-33329.978,-2650.0,-193.842,-57404.248
0.0,RowPad,7,C,X00-,-38629.978,-2650.0,-5423.842,-56984.248,RowPad,7,C,X00+,-38629.978,-2650.0,-5493.842,-57404.248
0.0,RowPad,8,C,X00-,-43929.978,-2650.0,-10723.842,-56984.248,RowPad,8,C,X00+,-43929.978,-2650.0,-10793.842,-57404.248
0.0,RowPad,9,C,X00-,-49229.978,-2650.0,-16023.842,-56984.248,RowPad,9,C,X00+,-49229.978,-2650.0,-16093.842,-57404.248
0.0,RowPad,10,C,X00-,-54529.978,-2650.0,-21323.842,-56984.248,RowPad,10,C,X00+,-54529.978,-2650.0,-21393.842,-57404.248
0.0,RowPad,11,C,X00-,-59829.978,-2650.0,-26623.842,-56984.248,RowPad,11,C,X00+,-59829.978,-2650.0,-26693.842,-57404.248
