1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
RowPad,0,A,X00+,-1529.978,2650.0,-65326.616,1659.478,RowPad,0,A,B00+,-1529.978,2650.0,-65256.616,1780.721
RowPad,0,A,B00+,-1529.978,2650.0,-65256.616,1780.721,RowPad,0,A,T00+,-1529.978,2650.0,-65186.616,1901.965
RowPad,0,A,B01+,-6829.978,2650.0,-65116.616,2023.209,RowPad,0,A,T01+,-6829.978,2650.0,-65046.616,2144.452
RowPad,0,A,B10-,-54529.978,2650.0,-63527.886,3934.971,RowPad,0,A,T10-,-54529.978,2650.0,-63457.886,4056.214
RowPad,0,A,B11-,-59829.978,2650.0,-63387.886,4177.458,RowPad,0,A,T11-,-59829.978,2650.0,-63317.886,4298.701
RowPad,1,A,X00+,1120.022,7239.935,-62866.616,5920.323,RowPad,1,A,B00+,1120.022,7239.935,-62796.616,6041.566
RowPad,1,A,B00+,1120.022,7239.935,-62796.616,6041.566,RowPad,1,A,T00+,1120.022,7239.935,-62726.616,6162.81
RowPad,1,A,B01+,-4179.978,7239.935,-62656.616,6284.054,RowPad,1,A,T01+,-4179.978,7239.935,-62586.616,6405.297
RowPad,1,A,B10-,-51879.978,7239.935,-61067.886,8195.816,RowPad,1,A,T10-,-51879.978,7239.935,-60997.886,8317.059
RowPad,1,A,B11-,-57179.978,7239.935,-60927.886,8438.303,RowPad,1,A,T11-,-57179.978,7239.935,-60857.886,8559.546
RowPad,2,A,X00+,3770.022,11829.869,-60216.616,10510.257,RowPad,2,A,B00+,3770.022,11829.869,-60146.616,10631.501
RowPad,2,A,B00+,3770.022,11829.869,-60146.616,10631.501,RowPad,2,A,T00+,3770.022,11829.869,-60076.616,10752.745
RowPad,2,A,B01+,-1529.978,11829.869,-60006.616,10873.988,RowPad,2,A,T01+,-1529.978,11829.869,-59936.616,10995.232
RowPad,2,A,B10-,-49229.978,11829.869,-58417.886,12785.75,RowPad,2,A,T10-,-49229.978,11829.869,-58347.886,12906.994
RowPad,2,A,B11-,-54529.978,11829.869,-58277.886,13028.238,RowPad,2,A,T11-,-54529.978,11829.869,-58207.886,13149.481
RowPad,3,A,X00+,6420.022,16419.804,-57566.616,15100.192,RowPad,3,A,B00+,6420.022,16419.804,-57496.616,15221.436
RowPad,3,A,B00+,6420.022,16419.804,-57496.616,15221.436,RowPad,3,A,T00+,6420.022,16419.804,-57426.616,15342.679
RowPad,3,A,B01+,1120.022,16419.804,-57356.616,15463.923,RowPad,3,A,T01+,1120.022,16419.804,-57286.616,15585.166
RowPad,3,A,B10-,-46579.978,16419.804,-55767.886,17375.685,RowPad,3,A,T10-,-46579.978,16419.804,-55697.886,17496.929
RowPad,3,A,B11-,-51879.978,16419.804,-55627.886,17618.172,RowPad,3,A,T11-,-51879.978,16419.804,-55557.886,17739.416
