range of distance,number in the range
"(425.7923655269043,436.6068007933122)",1764.0
"(469.0501065925358,479.8645418589437)",900.0
"(8071.598098877277,8082.412534143685)",3.0
"(8331.144545271067,8341.958980537474)",3.0
"(12429.815511239653,12440.629946506062)",3.0
"(12483.887687571692,12494.7021228381)",3.0
"(13349.042508884324,13359.856944150732)",3.0
"(13684.290002142967,13695.104437409376)",3.0
"(17188.16702845912,17198.98146372553)",6.0
"(17242.23920479116,17253.05364005757)",3.0
"(17361.19799272165,17372.012427988055)",3.0
"(18713.002401022633,18723.81683628904)",3.0
"(19080.6932000805,19091.50763534691)",3.0
"(21589.642181887128,21600.456617153537)",3.0
"(21665.343228751983,21676.157664018392)",3.0
"(22097.9206394083,22108.735074674707)",3.0
"(22206.064992072377,22216.879427338787)",3.0
"(22260.137168404417,22270.951603670826)",3.0
"(22508.8691795318,22519.683614798207)",3.0
"(24120.220034226575,24131.03446949298)",3.0
"(24509.539703817256,24520.354139083665)",3.0
"(26272.292652241744,26283.10708750815)",6.0
"(26347.9936991066,26358.808134373005)",3.0
"(26499.39579283631,26510.210228102715)",3.0
"(27115.81860302156,27126.633038287964)",3.0
"(27256.40626148486,27267.22069675127)",3.0
"(27483.509402079424,27494.323837345833)",3.0
"(27764.68471900603,27775.49915427244)",3.0
"(29538.252102696923,29549.066537963332)",3.0
"(29938.386207554013,29949.200642820422)",3.0
"(30760.283287801012,30771.09772306742)",3.0
"(30846.798769932277,30857.613205198682)",3.0
"(31063.087475260432,31073.90191052684)",3.0
"(31106.345216326066,31117.159651592472)",3.0
"(31333.44835692063,31344.262792187037)",3.0
"(31538.92262698238,31549.737062248787)",3.0
"(32166.159872434037,32176.974307700446)",3.0
"(32339.190836696565,32350.00527196297)",3.0
"(32771.768247352884,32782.582682619286)",3.0
"(33085.386870078706,33096.201305345116)",3.0
"(34967.098606433676,34977.913041700085)",3.0
"(35367.23271129077,35378.047146557175)",3.0
"(35378.047146557175,35388.861581823585)",3.0
"(35410.490452356404,35421.30488762281)",3.0
"(35529.44924028689,35540.263675553295)",3.0
"(35659.222463483784,35670.03689875019)",3.0
"(35951.212215676795,35962.026650943204)",3.0
"(36037.72769780806,36048.542133074465)",3.0
"(36448.67623793156,36459.490673197964)",3.0
"(36686.59381379253,36697.40824905894)",3.0
"(37259.75888291215,37270.57331817856)",3.0
"(37443.60428244108,37454.41871770749)",3.0
"(38103.28483369196,38114.09926895837)",3.0
"(38438.53232695061,38449.346762217014)",3.0
"(39941.7388289813,39952.55326424771)",3.0
"(40028.25431111257,40039.06874637897)",3.0
"(40125.58422851024,40136.39866377665)",3.0
"(40136.39866377665,40147.21309904305)",3.0
"(40395.94511017043,40406.75954543684)",3.0
"(40460.83172176888,40471.64615703529)",3.0
"(40633.86268603141,40644.67712129782)",3.0
"(40806.89365029393,40817.70808556034)",3.0
"(40915.03800295801,40925.85243822442)",3.0
"(41023.18235562209,41033.9967908885)",3.0
"(41650.41960107375,41661.23403634016)",3.0
"(41920.78048273395,41931.59491800035)",3.0
"(42364.17232865667,42374.98676392308)",3.0
"(42558.83216345201,42569.64659871842)",3.0
"(43467.24472583027,43478.05916109668)",3.0
"(43813.30665435533,43824.12108962174)",3.0
"(44527.05938193825,44537.87381720466)",3.0
"(44559.50268773747,44570.31712300388)",3.0
"(44700.09034620077,44710.90478146718)",3.0
"(44829.86356939767,44840.67800466408)",3.0
"(44927.19348679534,44938.00792206175)",3.0
"(44981.26566312738,44992.08009839379)",3.0
"(45511.17299118137,45521.98742644777)",3.0
"(45716.64726124312,45727.46169650952)",3.0
"(45835.6060491736,45846.42048444001)",3.0
"(45911.30709603846,45922.12153130487)",3.0
"(46041.08031923535,46051.89475450176)",3.0
"(46246.5545892971,46257.36902456351)",3.0
"(46906.23514054798,46917.04957581439)",3.0
"(47198.224892741,47209.0393280074)",3.0
"(47479.4002096676,47490.21464493401)",3.0
"(47684.87447972935,47695.68891499576)",3.0
"(48852.8334885014,48863.64792376781)",3.0
"(49123.1943701616,49134.008805428006)",3.0
"(49209.70985229286,49220.52428755927)",6.0
"(49220.52428755927,49231.338722825676)",3.0
"(49231.338722825676,49242.153158092086)",3.0
"(49599.029521883545,49609.843957149955)",3.0
"(49772.06048614607,49782.87492141248)",3.0
"(49815.318227211705,49826.13266247811)",3.0
"(49880.20483881015,49891.019274076556)",3.0
"(50637.2153074587,50648.029742725106)",3.0
"(50875.132883319675,50885.947318586084)",3.0
"(50950.833930184526,50961.648365450936)",3.0
"(51102.236023914236,51113.050459180646)",3.0
"(51275.266988176765,51286.081423443175)",3.0
"(51686.215528300265,51697.029963566674)",3.0
"(52205.308421087844,52216.12285635425)",3.0
"(52508.112608547264,52518.927043813674)",3.0
"(52605.442525944934,52616.256961211344)",3.0
"(52821.731231273094,52832.5456665395)",3.0
"(53676.071617319314,53686.88605258572)",3.0
"(53730.143793651354,53740.95822891776)",3.0
"(53881.545887381064,53892.36032264747)",3.0
"(53978.875804778734,53989.69024004514)",3.0
"(54000.50467531155,54011.31911057796)",3.0
"(54011.31911057796,54022.133545844365)",3.0
"(54238.422251172524,54249.23668643893)",3.0
