range of distance,number in the range
"(425.7923655269043,426.6935684657716)",1764.0
"(469.0501065925358,469.9513095314031)",900.0
"(8079.708925327082,8080.61012826595)",3.0
"(8338.354168782005,8339.255371720872)",3.0
"(12436.123931811724,12437.025134750591)",3.0
"(12485.690093449428,12486.591296388295)",3.0
"(13349.94371182319,13350.844914762058)",3.0
"(13685.191205081836,13686.092408020702)",3.0
"(17193.574246092325,17194.475449031193)",3.0
"(17194.475449031193,17195.37665197006)",3.0
"(17245.84401654663,17246.745219485496)",3.0
"(17368.407616232587,17369.308819171452)",3.0
"(18720.212024533572,18721.113227472437)",3.0
"(19087.902823591437,19088.804026530306)",3.0
"(21595.9506024592,21596.851805398066)",3.0
"(21666.24443169085,21667.14563462972)",3.0
"(22107.833871735842,22108.735074674707)",3.0
"(22215.978224399918,22216.879427338787)",3.0
"(22268.247994854224,22269.149197793093)",3.0
"(22511.5727883484,22512.47399128727)",3.0
"(24124.72604892091,24125.627251859776)",3.0
"(24509.539703817256,24510.440906756125)",3.0
"(26277.699869874945,26278.601072813814)",3.0
"(26278.601072813814,26279.502275752682)",3.0
"(26356.104525556402,26357.00572849527)",3.0
"(26504.80301046951,26505.70421340838)",3.0
"(27115.81860302156,27116.719805960423)",3.0
"(27258.208667362593,27259.10987030146)",3.0
"(27485.31180795716,27486.213010896026)",3.0
"(27769.190733700365,27770.091936639234)",3.0
"(29544.560523268992,29545.46172620786)",3.0
"(29940.18861343175,29941.089816370615)",3.0
"(30770.196520128553,30771.09772306742)",3.0
"(30848.60117581001,30849.50237874888)",3.0
"(31064.88988113817,31065.791084077035)",3.0
"(31112.653636898136,31113.554839837005)",3.0
"(31340.65798043157,31341.55918337044)",3.0
"(31542.52743873785,31543.428641676717)",3.0
"(32172.46829300611,32173.369495944975)",3.0
"(32340.09203963543,32340.9932425743)",3.0
"(32776.27426204722,32777.17546498609)",3.0
"(33088.09047889531,33088.99168183418)",3.0
"(34971.60462112802,34972.50582406688)",3.0
"(35374.44233480171,35375.34353774058)",3.0
"(35387.960378884716,35388.861581823585)",3.0
"(35414.09526411187,35414.99646705074)",3.0
"(35529.44924028689,35530.350443225754)",3.0
"(35666.43208699472,35667.33328993359)",3.0
"(35957.52063624887,35958.42183918774)",3.0
"(36039.53010368579,36040.43130662466)",3.0
"(36456.787064381366,36457.688267320234)",3.0
"(36696.507046120074,36697.40824905894)",3.0
"(37259.75888291215,37260.66008585102)",3.0
"(37444.50548537995,37445.40668831882)",3.0
"(38111.395660141774,38112.296863080635)",3.0
"(38442.13713870608,38443.03834164495)",3.0
"(39948.948452492245,39949.84965543111)",3.0
"(40031.85912286804,40032.76032580691)",3.0
"(40125.58422851024,40126.48543144911)",3.0
"(40139.10227259325,40140.00347553212)",3.0
"(40404.05593662024,40404.95713955911)",3.0
"(40462.63412764662,40463.53533058549)",3.0
"(40641.973512481214,40642.87471542008)",3.0
"(40812.30086792714,40813.202070866006)",3.0
"(40915.93920589688,40916.84040883575)",3.0
"(41025.8859644387,41026.78716737756)",3.0
"(41656.728021645824,41657.62922458469)",3.0
"(41924.38529448942,41925.286497428286)",3.0
"(42365.97473453441,42366.87593747327)",3.0
"(42564.239381085215,42565.140584024084)",3.0
"(43473.553146402344,43474.45434934121)",3.0
"(43818.71387198853,43819.615074927395)",3.0
"(44528.86178781598,44529.76299075485)",3.0
"(44569.41592006501,44570.31712300388)",3.0
"(44708.20117265058,44709.10237558945)",3.0
"(44836.17198996974,44837.0731929086)",3.0
"(44936.20551618401,44937.10671912288)",3.0
"(44982.16686606625,44983.068069005116)",3.0
"(45512.9753970591,45513.876599997966)",3.0
"(45724.75808769292,45725.65929063179)",3.0
"(45839.21086092907,45840.112063867935)",3.0
"(45921.220328366,45922.12153130487)",3.0
"(46050.99355156289,46051.89475450176)",3.0
"(46251.9618069303,46252.86300986917)",3.0
"(46912.54356112005,46913.44476405892)",3.0
"(47200.928501557595,47201.829704496464)",3.0
"(47485.70863023967,47486.60983317854)",3.0
"(47692.98530617915,47693.88650911802)",3.0
"(48853.734691440266,48854.635894379135)",3.0
"(49129.50279073367,49130.40399367254)",3.0
"(49210.611055231726,49211.512258170595)",3.0
"(49216.01827286493,49216.9194758038)",3.0
"(49224.129099314734,49225.0303022536)",3.0
"(49231.338722825676,49232.239925764545)",3.0
"(49608.04155127222,49608.942754211086)",3.0
"(49772.961689084936,49773.862892023804)",3.0
"(49818.92303896717,49819.82424190604)",3.0
"(49890.11807113769,49891.019274076556)",3.0
"(50645.32613390851,50646.227336847376)",3.0
"(50883.24370976948,50884.14491270835)",3.0
"(50958.04355369547,50958.94475663434)",3.0
"(51104.93963273084,51105.84083566971)",3.0
"(51277.0693940545,51277.970596993364)",3.0
"(51692.52394887234,51693.42515181121)",3.0
"(52207.110826965574,52208.01202990444)",3.0
"(52512.6186232416,52513.51982618047)",3.0
