Pixel X center,Pixel Y center,Pad X center,Pad Y center
-59829.978,-2650.0,-26833.842,-57404.248
-59829.978,-2650.0,-26763.842,-56984.248
-59829.978,-2650.0,-26973.842,-57404.248
-59829.978,-2650.0,-26903.842,-56984.248
-59829.978,-2650.0,-26693.842,-57404.248
-59829.978,-2650.0,-26623.842,-56984.248
-59829.978,-2650.0,-65256.616,-1780.721
-59829.978,-2650.0,-64857.886,-1631.343
-59829.978,-2650.0,-65326.616,-1659.478
-59829.978,-2650.0,-64927.886,-1510.1
-59829.978,2650.0,-63716.616,4448.08
-59829.978,2650.0,-63387.886,4177.458
-59829.978,2650.0,-63646.616,4569.323
-59829.978,2650.0,-63317.886,4298.701
-59829.978,2650.0,-29913.842,57404.248
-59829.978,2650.0,-29983.842,56984.248
-59829.978,2650.0,-29773.842,57404.248
-59829.978,2650.0,-29843.842,56984.248
-57179.978,-7239.935,-27113.842,-57404.248
-57179.978,-7239.935,-27043.842,-56984.248
-57179.978,-7239.935,-27253.842,-57404.248
-57179.978,-7239.935,-27183.842,-56984.248
-57179.978,-7239.935,-62796.616,-6041.566
-57179.978,-7239.935,-62397.886,-5892.188
-57179.978,-7239.935,-62866.616,-5920.323
-57179.978,-7239.935,-62467.886,-5770.945
-57179.978,7239.935,-61256.616,8708.925
-57179.978,7239.935,-60927.886,8438.303
-57179.978,7239.935,-61186.616,8830.168
-57179.978,7239.935,-60857.886,8559.546
-57179.978,7239.935,-29633.842,57404.248
-57179.978,7239.935,-29703.842,56984.248
-57179.978,7239.935,-29493.842,57404.248
-57179.978,7239.935,-29563.842,56984.248
-54529.978,-11829.869,-27393.842,-57404.248
-54529.978,-11829.869,-27323.842,-56984.248
-54529.978,-11829.869,-27533.842,-57404.248
-54529.978,-11829.869,-27463.842,-56984.248
-54529.978,-11829.869,-60146.616,-10631.501
-54529.978,-11829.869,-59747.886,-10482.123
-54529.978,-11829.869,-60216.616,-10510.257
-54529.978,-11829.869,-59817.886,-10360.879
-54529.978,-2650.0,-21533.842,-57404.248
-54529.978,-2650.0,-21463.842,-56984.248
-54529.978,-2650.0,-21673.842,-57404.248
-54529.978,-2650.0,-21603.842,-56984.248
-54529.978,-2650.0,-21393.842,-57404.248
-54529.978,-2650.0,-21323.842,-56984.248
-54529.978,-2650.0,-65116.616,-2023.209
-54529.978,-2650.0,-64717.886,-1873.83
-54529.978,-2650.0,-65186.616,-1901.965
-54529.978,-2650.0,-64787.886,-1752.587
-54529.978,2650.0,-63856.616,4205.593
-54529.978,2650.0,-63527.886,3934.971
-54529.978,2650.0,-63786.616,4326.836
-54529.978,2650.0,-63457.886,4056.214
-54529.978,2650.0,-24613.842,57404.248
-54529.978,2650.0,-24683.842,56984.248
-54529.978,2650.0,-24473.842,57404.248
-54529.978,2650.0,-24543.842,56984.248
-54529.978,11829.869,-58606.616,13298.859
-54529.978,11829.869,-58277.886,13028.238
-54529.978,11829.869,-58536.616,13420.103
-54529.978,11829.869,-58207.886,13149.481
-54529.978,11829.869,-29353.842,57404.248
-54529.978,11829.869,-29423.842,56984.248
-54529.978,11829.869,-29213.842,57404.248
-54529.978,11829.869,-29283.842,56984.248
-51879.978,-16419.804,-27673.842,-57404.248
-51879.978,-16419.804,-27603.842,-56984.248
-51879.978,-16419.804,-27813.842,-57404.248
-51879.978,-16419.804,-27743.842,-56984.248
-51879.978,-16419.804,-57496.616,-15221.436
-51879.978,-16419.804,-57097.886,-15072.057
-51879.978,-16419.804,-57566.616,-15100.192
-51879.978,-16419.804,-57167.886,-14950.814
-51879.978,-7239.935,-21813.842,-57404.248
-51879.978,-7239.935,-21743.842,-56984.248
-51879.978,-7239.935,-21953.842,-57404.248
-51879.978,-7239.935,-21883.842,-56984.248
-51879.978,-7239.935,-62656.616,-6284.054
-51879.978,-7239.935,-62257.886,-6134.675
-51879.978,-7239.935,-62726.616,-6162.81
-51879.978,-7239.935,-62327.886,-6013.432
-51879.978,7239.935,-61396.616,8466.438
-51879.978,7239.935,-61067.886,8195.816
-51879.978,7239.935,-61326.616,8587.681
-51879.978,7239.935,-60997.886,8317.059
-51879.978,7239.935,-24333.842,57404.248
-51879.978,7239.935,-24403.842,56984.248
-51879.978,7239.935,-24193.842,57404.248
-51879.978,7239.935,-24263.842,56984.248
-51879.978,16419.804,-55956.616,17888.794
-51879.978,16419.804,-55627.886,17618.172
-51879.978,16419.804,-55886.616,18010.037
-51879.978,16419.804,-55557.886,17739.416
-51879.978,16419.804,-29073.842,57404.248
-51879.978,16419.804,-29143.842,56984.248
-51879.978,16419.804,-28933.842,57404.248
-51879.978,16419.804,-29003.842,56984.248
-49229.978,-21009.739,-27953.842,-57404.248
-49229.978,-21009.739,-27883.842,-56984.248
-49229.978,-21009.739,-28093.842,-57404.248
-49229.978,-21009.739,-28023.842,-56984.248
-49229.978,-21009.739,-54846.616,-19811.37
-49229.978,-21009.739,-54447.886,-19661.992
-49229.978,-21009.739,-54916.616,-19690.127
-49229.978,-21009.739,-54517.886,-19540.749
-49229.978,-11829.869,-22093.842,-57404.248
-49229.978,-11829.869,-22023.842,-56984.248
-49229.978,-11829.869,-22233.842,-57404.248
-49229.978,-11829.869,-22163.842,-56984.248
-49229.978,-11829.869,-60006.616,-10873.988
-49229.978,-11829.869,-59607.886,-10724.61
-49229.978,-11829.869,-60076.616,-10752.745
-49229.978,-11829.869,-59677.886,-10603.366
-49229.978,-2650.0,-16233.842,-57404.248
-49229.978,-2650.0,-16163.842,-56984.248
-49229.978,-2650.0,-16373.842,-57404.248
-49229.978,-2650.0,-16303.842,-56984.248
-49229.978,-2650.0,-16093.842,-57404.248
-49229.978,-2650.0,-16023.842,-56984.248
-49229.978,-2650.0,-64976.616,-2265.696
-49229.978,-2650.0,-64577.886,-2116.317
-49229.978,-2650.0,-65046.616,-2144.452
-49229.978,-2650.0,-64647.886,-1995.074
-49229.978,2650.0,-63996.616,3963.105
-49229.978,2650.0,-63667.886,3692.484
-49229.978,2650.0,-63926.616,4084.349
-49229.978,2650.0,-63597.886,3813.727
-49229.978,2650.0,-19313.842,57404.248
-49229.978,2650.0,-19383.842,56984.248
-49229.978,2650.0,-19173.842,57404.248
-49229.978,2650.0,-19243.842,56984.248
-49229.978,11829.869,-58746.616,13056.372
-49229.978,11829.869,-58417.886,12785.75
-49229.978,11829.869,-58676.616,13177.616
-49229.978,11829.869,-58347.886,12906.994
-49229.978,11829.869,-24053.842,57404.248
-49229.978,11829.869,-24123.842,56984.248
-49229.978,11829.869,-23913.842,57404.248
-49229.978,11829.869,-23983.842,56984.248
-49229.978,21009.739,-53306.616,22478.729
-49229.978,21009.739,-52977.886,22208.107
-49229.978,21009.739,-53236.616,22599.972
-49229.978,21009.739,-52907.886,22329.35
-49229.978,21009.739,-28793.842,57404.248
-49229.978,21009.739,-28863.842,56984.248
-49229.978,21009.739,-28653.842,57404.248
-49229.978,21009.739,-28723.842,56984.248
-46579.978,-25599.673,-28233.842,-57404.248
-46579.978,-25599.673,-28163.842,-56984.248
-46579.978,-25599.673,-28373.842,-57404.248
-46579.978,-25599.673,-28303.842,-56984.248
-46579.978,-25599.673,-52196.616,-24401.305
-46579.978,-25599.673,-51797.886,-24251.927
-46579.978,-25599.673,-52266.616,-24280.061
-46579.978,-25599.673,-51867.886,-24130.683
-46579.978,-16419.804,-22373.842,-57404.248
-46579.978,-16419.804,-22303.842,-56984.248
-46579.978,-16419.804,-22513.842,-57404.248
-46579.978,-16419.804,-22443.842,-56984.248
-46579.978,-16419.804,-57356.616,-15463.923
-46579.978,-16419.804,-56957.886,-15314.545
-46579.978,-16419.804,-57426.616,-15342.679
-46579.978,-16419.804,-57027.886,-15193.301
-46579.978,-7239.935,-16513.842,-57404.248
-46579.978,-7239.935,-16443.842,-56984.248
-46579.978,-7239.935,-16653.842,-57404.248
-46579.978,-7239.935,-16583.842,-56984.248
-46579.978,-7239.935,-62516.616,-6526.541
-46579.978,-7239.935,-62117.886,-6377.162
-46579.978,-7239.935,-62586.616,-6405.297
-46579.978,-7239.935,-62187.886,-6255.919
-46579.978,7239.935,-61536.616,8223.95
-46579.978,7239.935,-61207.886,7953.329
-46579.978,7239.935,-61466.616,8345.194
-46579.978,7239.935,-61137.886,8074.572
-46579.978,7239.935,-19033.842,57404.248
-46579.978,7239.935,-19103.842,56984.248
-46579.978,7239.935,-18893.842,57404.248
-46579.978,7239.935,-18963.842,56984.248
-46579.978,16419.804,-56096.616,17646.307
-46579.978,16419.804,-55767.886,17375.685
-46579.978,16419.804,-56026.616,17767.55
-46579.978,16419.804,-55697.886,17496.929
-46579.978,16419.804,-23773.842,57404.248
-46579.978,16419.804,-23843.842,56984.248
-46579.978,16419.804,-23633.842,57404.248
-46579.978,16419.804,-23703.842,56984.248
-46579.978,25599.673,-50656.616,27068.663
-46579.978,25599.673,-50327.886,26798.041
-46579.978,25599.673,-50586.616,27189.907
-46579.978,25599.673,-50257.886,26919.285
-46579.978,25599.673,-28513.842,57404.248
-46579.978,25599.673,-28583.842,56984.248
-46579.978,25599.673,-28373.842,57404.248
-46579.978,25599.673,-28443.842,56984.248
-43929.978,-30189.608,-28513.842,-57404.248
-43929.978,-30189.608,-28443.842,-56984.248
-43929.978,-30189.608,-28653.842,-57404.248
-43929.978,-30189.608,-28583.842,-56984.248
-43929.978,-30189.608,-49546.616,-28991.24
-43929.978,-30189.608,-49147.886,-28841.861
-43929.978,-30189.608,-49616.616,-28869.996
-43929.978,-30189.608,-49217.886,-28720.618
-43929.978,-21009.739,-22653.842,-57404.248
-43929.978,-21009.739,-22583.842,-56984.248
-43929.978,-21009.739,-22793.842,-57404.248
-43929.978,-21009.739,-22723.842,-56984.248
-43929.978,-21009.739,-54706.616,-20053.857
-43929.978,-21009.739,-54307.886,-19904.479
-43929.978,-21009.739,-54776.616,-19932.614
-43929.978,-21009.739,-54377.886,-19783.236
-43929.978,-11829.869,-16793.842,-57404.248
-43929.978,-11829.869,-16723.842,-56984.248
-43929.978,-11829.869,-16933.842,-57404.248
-43929.978,-11829.869,-16863.842,-56984.248
-43929.978,-11829.869,-59866.616,-11116.475
-43929.978,-11829.869,-59467.886,-10967.097
-43929.978,-11829.869,-59936.616,-10995.232
-43929.978,-11829.869,-59537.886,-10845.853
-43929.978,-2650.0,-10933.842,-57404.248
-43929.978,-2650.0,-10863.842,-56984.248
-43929.978,-2650.0,-11073.842,-57404.248
-43929.978,-2650.0,-11003.842,-56984.248
-43929.978,-2650.0,-10793.842,-57404.248
-43929.978,-2650.0,-10723.842,-56984.248
-43929.978,-2650.0,-64836.616,-2508.183
-43929.978,-2650.0,-64437.886,-2358.805
-43929.978,-2650.0,-64906.616,-2386.939
-43929.978,-2650.0,-64507.886,-2237.561
-43929.978,2650.0,-64136.616,3720.618
-43929.978,2650.0,-63807.886,3449.997
-43929.978,2650.0,-64066.616,3841.862
-43929.978,2650.0,-63737.886,3571.24
-43929.978,2650.0,-14013.842,57404.248
-43929.978,2650.0,-14083.842,56984.248
-43929.978,2650.0,-13873.842,57404.248
-43929.978,2650.0,-13943.842,56984.248
-43929.978,11829.869,-58886.616,12813.885
-43929.978,11829.869,-58557.886,12543.263
-43929.978,11829.869,-58816.616,12935.129
-43929.978,11829.869,-58487.886,12664.507
-43929.978,11829.869,-18753.842,57404.248
-43929.978,11829.869,-18823.842,56984.248
-43929.978,11829.869,-18613.842,57404.248
-43929.978,11829.869,-18683.842,56984.248
-43929.978,21009.739,-53446.616,22236.241
-43929.978,21009.739,-53117.886,21965.62
-43929.978,21009.739,-53376.616,22357.485
-43929.978,21009.739,-53047.886,22086.863
-43929.978,21009.739,-23493.842,57404.248
-43929.978,21009.739,-23563.842,56984.248
-43929.978,21009.739,-23353.842,57404.248
-43929.978,21009.739,-23423.842,56984.248
-43929.978,30189.608,-48006.616,31658.598
-43929.978,30189.608,-47677.886,31387.976
-43929.978,30189.608,-47936.616,31779.841
-43929.978,30189.608,-47607.886,31509.22
-43929.978,30189.608,-28233.842,57404.248
-43929.978,30189.608,-28303.842,56984.248
-43929.978,30189.608,-28093.842,57404.248
-43929.978,30189.608,-28163.842,56984.248
-41279.978,-34779.542,-28793.842,-57404.248
-41279.978,-34779.542,-28723.842,-56984.248
-41279.978,-34779.542,-28933.842,-57404.248
-41279.978,-34779.542,-28863.842,-56984.248
-41279.978,-34779.542,-46896.616,-33581.174
-41279.978,-34779.542,-46497.886,-33431.796
-41279.978,-34779.542,-46966.616,-33459.931
-41279.978,-34779.542,-46567.886,-33310.552
-41279.978,-25599.673,-22933.842,-57404.248
-41279.978,-25599.673,-22863.842,-56984.248
-41279.978,-25599.673,-23073.842,-57404.248
-41279.978,-25599.673,-23003.842,-56984.248
-41279.978,-25599.673,-52056.616,-24643.792
-41279.978,-25599.673,-51657.886,-24494.414
-41279.978,-25599.673,-52126.616,-24522.549
-41279.978,-25599.673,-51727.886,-24373.17
-41279.978,-16419.804,-17073.842,-57404.248
-41279.978,-16419.804,-17003.842,-56984.248
-41279.978,-16419.804,-17213.842,-57404.248
-41279.978,-16419.804,-17143.842,-56984.248
-41279.978,-16419.804,-57216.616,-15706.41
-41279.978,-16419.804,-56817.886,-15557.032
-41279.978,-16419.804,-57286.616,-15585.166
-41279.978,-16419.804,-56887.886,-15435.788
-41279.978,-7239.935,-11213.842,-57404.248
-41279.978,-7239.935,-11143.842,-56984.248
-41279.978,-7239.935,-11353.842,-57404.248
-41279.978,-7239.935,-11283.842,-56984.248
-41279.978,-7239.935,-62376.616,-6769.028
-41279.978,-7239.935,-61977.886,-6619.65
-41279.978,-7239.935,-62446.616,-6647.784
-41279.978,-7239.935,-62047.886,-6498.406
-41279.978,7239.935,-61676.616,7981.463
-41279.978,7239.935,-61347.886,7710.842
-41279.978,7239.935,-61606.616,8102.707
-41279.978,7239.935,-61277.886,7832.085
-41279.978,7239.935,-13733.842,57404.248
-41279.978,7239.935,-13803.842,56984.248
-41279.978,7239.935,-13593.842,57404.248
-41279.978,7239.935,-13663.842,56984.248
-41279.978,16419.804,-56236.616,17403.82
-41279.978,16419.804,-55907.886,17133.198
-41279.978,16419.804,-56166.616,17525.063
-41279.978,16419.804,-55837.886,17254.441
-41279.978,16419.804,-18473.842,57404.248
-41279.978,16419.804,-18543.842,56984.248
-41279.978,16419.804,-18333.842,57404.248
-41279.978,16419.804,-18403.842,56984.248
-41279.978,25599.673,-50796.616,26826.176
-41279.978,25599.673,-50467.886,26555.554
-41279.978,25599.673,-50726.616,26947.42
-41279.978,25599.673,-50397.886,26676.798
-41279.978,25599.673,-23213.842,57404.248
-41279.978,25599.673,-23283.842,56984.248
-41279.978,25599.673,-23073.842,57404.248
-41279.978,25599.673,-23143.842,56984.248
-41279.978,34779.542,-45356.616,36248.532
-41279.978,34779.542,-45027.886,35977.911
-41279.978,34779.542,-45286.616,36369.776
-41279.978,34779.542,-44957.886,36099.154
-41279.978,34779.542,-27953.842,57404.248
-41279.978,34779.542,-28023.842,56984.248
-41279.978,34779.542,-27813.842,57404.248
-41279.978,34779.542,-27883.842,56984.248
-38629.978,-39369.477,-29073.842,-57404.248
-38629.978,-39369.477,-29003.842,-56984.248
-38629.978,-39369.477,-29213.842,-57404.248
-38629.978,-39369.477,-29143.842,-56984.248
-38629.978,-39369.477,-44246.616,-38171.109
-38629.978,-39369.477,-43847.886,-38021.731
-38629.978,-39369.477,-44316.616,-38049.865
-38629.978,-39369.477,-43917.886,-37900.487
-38629.978,-30189.608,-23213.842,-57404.248
-38629.978,-30189.608,-23143.842,-56984.248
-38629.978,-30189.608,-23353.842,-57404.248
-38629.978,-30189.608,-23283.842,-56984.248
-38629.978,-30189.608,-49406.616,-29233.727
-38629.978,-30189.608,-49007.886,-29084.348
-38629.978,-30189.608,-49476.616,-29112.483
-38629.978,-30189.608,-49077.886,-28963.105
-38629.978,-21009.739,-17353.842,-57404.248
-38629.978,-21009.739,-17283.842,-56984.248
-38629.978,-21009.739,-17493.842,-57404.248
-38629.978,-21009.739,-17423.842,-56984.248
-38629.978,-21009.739,-54566.616,-20296.345
-38629.978,-21009.739,-54167.886,-20146.966
-38629.978,-21009.739,-54636.616,-20175.101
-38629.978,-21009.739,-54237.886,-20025.723
-38629.978,-11829.869,-11493.842,-57404.248
-38629.978,-11829.869,-11423.842,-56984.248
-38629.978,-11829.869,-11633.842,-57404.248
-38629.978,-11829.869,-11563.842,-56984.248
-38629.978,-11829.869,-59726.616,-11358.962
-38629.978,-11829.869,-59327.886,-11209.584
-38629.978,-11829.869,-59796.616,-11237.719
-38629.978,-11829.869,-59397.886,-11088.341
-38629.978,-2650.0,-5633.842,-57404.248
-38629.978,-2650.0,-5563.842,-56984.248
-38629.978,-2650.0,-5773.842,-57404.248
-38629.978,-2650.0,-5703.842,-56984.248
-38629.978,-2650.0,-5493.842,-57404.248
-38629.978,-2650.0,-5423.842,-56984.248
-38629.978,-2650.0,-64696.616,-2750.67
-38629.978,-2650.0,-64297.886,-2601.292
-38629.978,-2650.0,-64766.616,-2629.426
-38629.978,-2650.0,-64367.886,-2480.048
-38629.978,2650.0,-64276.616,3478.131
-38629.978,2650.0,-63947.886,3207.509
-38629.978,2650.0,-64206.616,3599.375
-38629.978,2650.0,-63877.886,3328.753
-38629.978,2650.0,-8713.842,57404.248
-38629.978,2650.0,-8783.842,56984.248
-38629.978,2650.0,-8573.842,57404.248
-38629.978,2650.0,-8643.842,56984.248
-38629.978,11829.869,-59026.616,12571.398
-38629.978,11829.869,-58697.886,12300.776
-38629.978,11829.869,-58956.616,12692.642
-38629.978,11829.869,-58627.886,12422.02
-38629.978,11829.869,-13453.842,57404.248
-38629.978,11829.869,-13523.842,56984.248
-38629.978,11829.869,-13313.842,57404.248
-38629.978,11829.869,-13383.842,56984.248
-38629.978,21009.739,-53586.616,21993.754
-38629.978,21009.739,-53257.886,21723.133
-38629.978,21009.739,-53516.616,22114.998
-38629.978,21009.739,-53187.886,21844.376
-38629.978,21009.739,-18193.842,57404.248
-38629.978,21009.739,-18263.842,56984.248
-38629.978,21009.739,-18053.842,57404.248
-38629.978,21009.739,-18123.842,56984.248
-38629.978,30189.608,-48146.616,31416.111
-38629.978,30189.608,-47817.886,31145.489
-38629.978,30189.608,-48076.616,31537.354
-38629.978,30189.608,-47747.886,31266.733
-38629.978,30189.608,-22933.842,57404.248
-38629.978,30189.608,-23003.842,56984.248
-38629.978,30189.608,-22793.842,57404.248
-38629.978,30189.608,-22863.842,56984.248
-38629.978,39369.477,-42706.616,40838.467
-38629.978,39369.477,-42377.886,40567.845
-38629.978,39369.477,-42636.616,40959.711
-38629.978,39369.477,-42307.886,40689.089
-38629.978,39369.477,-27673.842,57404.248
-38629.978,39369.477,-27743.842,56984.248
-38629.978,39369.477,-27533.842,57404.248
-38629.978,39369.477,-27603.842,56984.248
-35979.978,-43959.412,-29353.842,-57404.248
-35979.978,-43959.412,-29283.842,-56984.248
-35979.978,-43959.412,-29493.842,-57404.248
-35979.978,-43959.412,-29423.842,-56984.248
-35979.978,-43959.412,-41596.616,-42761.044
-35979.978,-43959.412,-41197.886,-42611.665
-35979.978,-43959.412,-41666.616,-42639.8
-35979.978,-43959.412,-41267.886,-42490.422
-35979.978,-34779.542,-23493.842,-57404.248
-35979.978,-34779.542,-23423.842,-56984.248
-35979.978,-34779.542,-23633.842,-57404.248
-35979.978,-34779.542,-23563.842,-56984.248
-35979.978,-34779.542,-46756.616,-33823.661
-35979.978,-34779.542,-46357.886,-33674.283
-35979.978,-34779.542,-46826.616,-33702.418
-35979.978,-34779.542,-46427.886,-33553.04
-35979.978,-25599.673,-17633.842,-57404.248
-35979.978,-25599.673,-17563.842,-56984.248
-35979.978,-25599.673,-17773.842,-57404.248
-35979.978,-25599.673,-17703.842,-56984.248
-35979.978,-25599.673,-51916.616,-24886.279
-35979.978,-25599.673,-51517.886,-24736.901
-35979.978,-25599.673,-51986.616,-24765.036
-35979.978,-25599.673,-51587.886,-24615.657
-35979.978,-16419.804,-11773.842,-57404.248
-35979.978,-16419.804,-11703.842,-56984.248
-35979.978,-16419.804,-11913.842,-57404.248
-35979.978,-16419.804,-11843.842,-56984.248
-35979.978,-16419.804,-57076.616,-15948.897
-35979.978,-16419.804,-56677.886,-15799.519
-35979.978,-16419.804,-57146.616,-15827.653
-35979.978,-16419.804,-56747.886,-15678.275
-35979.978,-7239.935,-5913.842,-57404.248
-35979.978,-7239.935,-5843.842,-56984.248
-35979.978,-7239.935,-6053.842,-57404.248
-35979.978,-7239.935,-5983.842,-56984.248
-35979.978,-7239.935,-62236.616,-7011.515
-35979.978,-7239.935,-61837.886,-6862.137
-35979.978,-7239.935,-62306.616,-6890.271
-35979.978,-7239.935,-61907.886,-6740.893
-35979.978,7239.935,-61816.616,7738.976
-35979.978,7239.935,-61487.886,7468.354
-35979.978,7239.935,-61746.616,7860.22
-35979.978,7239.935,-61417.886,7589.598
-35979.978,7239.935,-8433.842,57404.248
-35979.978,7239.935,-8503.842,56984.248
-35979.978,7239.935,-8293.842,57404.248
-35979.978,7239.935,-8363.842,56984.248
-35979.978,16419.804,-56376.616,17161.333
-35979.978,16419.804,-56047.886,16890.711
-35979.978,16419.804,-56306.616,17282.576
-35979.978,16419.804,-55977.886,17011.954
-35979.978,16419.804,-13173.842,57404.248
-35979.978,16419.804,-13243.842,56984.248
-35979.978,16419.804,-13033.842,57404.248
-35979.978,16419.804,-13103.842,56984.248
-35979.978,25599.673,-50936.616,26583.689
-35979.978,25599.673,-50607.886,26313.067
-35979.978,25599.673,-50866.616,26704.933
-35979.978,25599.673,-50537.886,26434.311
-35979.978,25599.673,-17913.842,57404.248
-35979.978,25599.673,-17983.842,56984.248
-35979.978,25599.673,-17773.842,57404.248
-35979.978,25599.673,-17843.842,56984.248
-35979.978,34779.542,-45496.616,36006.045
-35979.978,34779.542,-45167.886,35735.424
-35979.978,34779.542,-45426.616,36127.289
-35979.978,34779.542,-45097.886,35856.667
-35979.978,34779.542,-22653.842,57404.248
-35979.978,34779.542,-22723.842,56984.248
-35979.978,34779.542,-22513.842,57404.248
-35979.978,34779.542,-22583.842,56984.248
-35979.978,43959.412,-40056.616,45428.402
-35979.978,43959.412,-39727.886,45157.78
-35979.978,43959.412,-39986.616,45549.645
-35979.978,43959.412,-39657.886,45279.024
-35979.978,43959.412,-27393.842,57404.248
-35979.978,43959.412,-27463.842,56984.248
-35979.978,43959.412,-27253.842,57404.248
-35979.978,43959.412,-27323.842,56984.248
-33329.978,-48549.346,-29633.842,-57404.248
-33329.978,-48549.346,-29563.842,-56984.248
-33329.978,-48549.346,-29773.842,-57404.248
-33329.978,-48549.346,-29703.842,-56984.248
-33329.978,-48549.346,-38946.616,-47350.978
-33329.978,-48549.346,-38547.886,-47201.6
-33329.978,-48549.346,-39016.616,-47229.735
-33329.978,-48549.346,-38617.886,-47080.356
-33329.978,-39369.477,-23773.842,-57404.248
-33329.978,-39369.477,-23703.842,-56984.248
-33329.978,-39369.477,-23913.842,-57404.248
-33329.978,-39369.477,-23843.842,-56984.248
-33329.978,-39369.477,-44106.616,-38413.596
-33329.978,-39369.477,-43707.886,-38264.218
-33329.978,-39369.477,-44176.616,-38292.352
-33329.978,-39369.477,-43777.886,-38142.974
-33329.978,-30189.608,-17913.842,-57404.248
-33329.978,-30189.608,-17843.842,-56984.248
-33329.978,-30189.608,-18053.842,-57404.248
-33329.978,-30189.608,-17983.842,-56984.248
-33329.978,-30189.608,-49266.616,-29476.214
-33329.978,-30189.608,-48867.886,-29326.836
-33329.978,-30189.608,-49336.616,-29354.97
-33329.978,-30189.608,-48937.886,-29205.592
