range of distance,number in the range
"(3857.941575709121,9872.17191895016)",432.0
"(9872.17191895016,15886.402262191197)",366.0
"(15886.402262191197,21900.632605432234)",354.0
"(21900.632605432234,27914.862948673275)",288.0
"(27914.862948673275,33929.09329191431)",288.0
"(33929.09329191431,39943.32363515535)",288.0
"(39943.32363515535,45957.55397839638)",288.0
"(45957.55397839638,51971.784321637424)",366.0
"(51971.784321637424,57986.014664878465)",360.0
"(57986.014664878465,64000.2450081195)",498.0
