range of distance,number in the range
"(425.7923655269043,437.0142315005467)",394.0
"(459.45796344783156,470.679829421474)",165.0
"(4824.763827194732,4835.985693168374)",3.0
"(5655.181909244271,5666.403775217913)",13.0
"(5700.06937313884,5711.291239112483)",1.0
"(5801.066166901623,5812.288032875264)",20.0
"(6081.612816242683,6092.834682216325)",6.0
"(10009.265907017529,10020.487772991171)",4.0
"(10390.809350121372,10402.031216095012)",3.0
"(10435.69681401594,10446.918679989583)",9.0
"(10817.240257119784,10828.462123093424)",13.0
"(64839.303054234384,64850.52492020802)",1.0
"(65434.06195083743,65445.28381681107)",1.0
"(66017.59898146684,66028.82084744048)",1.0
"(66612.35787806989,66623.57974404353)",1.0
"(67375.44476427758,67386.66663025122)",1.0
"(68531.29695956274,68542.51882553639)",1.0
"(71673.41943218262,71684.64129815626)",1.0
"(76352.93754319151,76364.15940916515)",1.0
"(79506.28188178503,79517.50374775867)",1.0
"(84612.23089979232,84623.45276576596)",1.0
"(87754.35337241221,87765.57523838585)",1.0
"(96170.75285264401,96181.97471861765)",1.0
"(98067.24820218958,98078.47006816322)",1.0
"(98157.02312997873,98168.24499595237)",1.0
"(98347.79485153065,98359.01671750429)",1.0
"(98751.78202658177,98763.00389255541)",1.0
"(99166.99106760655,99178.21293358019)",1.0
"(99402.65025305304,99413.87211902668)",1.0
"(99570.97824265767,99582.20010863131)",1.0
"(99851.52489199874,99862.74675797237)",1.0
"(99986.18728368243,99997.40914965609)",1.0
"(100311.62139691807,100322.8432628917)",1.0
"(100401.39632470721,100412.61819068085)",1.0
"(100693.16484002191,100704.38670599555)",1.0
"(100760.49603586376,100771.71790183742)",1.0
"(101119.59574702033,101130.81761299397)",1.0
"(101209.37067480947,101220.59254078311)",1.0
"(101388.92053038774,101400.14239636138)",1.0
"(101546.02665401873,101557.24851999238)",1.0
"(101624.57971583423,101635.80158180787)",1.0
"(101748.0202415443,101759.24210751794)",1.0
"(101972.45756101715,101983.67942699078)",1.0
"(102095.89808672722,102107.11995270086)",1.0
"(102387.66660204192,102398.88846801556)",1.0
"(102454.99779788377,102466.21966385741)",1.0
"(102713.10071527754,102724.3225812512)",1.0
"(102814.09750904032,102825.31937501398)",1.0
"(102959.98176669767,102971.20363267133)",1.0
"(103083.42229240775,103094.64415838139)",1.0
"(103184.41908617053,103195.64095214417)",1.0
"(103464.96573551159,103476.18760148523)",1.0
"(103644.51559108986,103655.73745706351)",1.0
"(103835.28731264178,103846.50917861544)",1.0
"(104104.61209600921,104115.83396198285)",1.0
"(104205.60888977199,104216.83075574563)",1.0
"(104463.71180716576,104474.93367313941)",1.0
"(104587.15233287583,104598.37419884947)",1.0
"(104676.92726066498,104688.14912663861)",1.0
"(104755.48032248046,104766.7021884541)",1.0
"(105058.4707037688,105069.69256974246)",1.0
"(105541.01094063543,105552.23280660908)",1.0
"(107785.38413536391,107796.60600133757)",1.0
"(108077.15265067862,108088.37451665227)",1.0
"(108122.04011457319,108133.26198054684)",1.0
"(108436.25236183518,108447.47422780882)",1.0
"(108503.58355767703,108514.80542365067)",1.0
"(108750.46460909717,108761.6864750708)",1.0
"(108952.45819662273,108963.68006259638)",1.0
"(109188.11738206922,109199.33924804286)",1.0
"(109883.87307243505,109895.0949384087)",1.0
"(112633.23023597745,112644.45210195109)",1.0
