Grouptype,GroupIndex,Group Section,Pad Label,Pixel X center,Pixel Y center,Pad X center,Pad Y center
RowPad,0,A,X00+,-1529.978,2650.0,-65326.616,1659.478
RowPad,0,A,B00+,-1529.978,2650.0,-65256.616,1780.721
RowPad,0,A,T00+,-1529.978,2650.0,-65186.616,1901.965
RowPad,0,A,B01+,-6829.978,2650.0,-65116.616,2023.209
RowPad,0,A,T01+,-6829.978,2650.0,-65046.616,2144.452
RowPad,0,A,X00-,-1529.978,2650.0,-64997.886,1388.856
RowPad,0,A,B02+,-12129.978,2650.0,-64976.616,2265.696
RowPad,0,A,B00-,-1529.978,2650.0,-64927.886,1510.1
RowPad,0,A,T02+,-12129.978,2650.0,-64906.616,2386.939
RowPad,0,A,T00-,-1529.978,2650.0,-64857.886,1631.343
RowPad,0,A,B03+,-17429.978,2650.0,-64836.616,2508.183
RowPad,0,A,B01-,-6829.978,2650.0,-64787.886,1752.587
RowPad,0,A,T03+,-17429.978,2650.0,-64766.616,2629.426
RowPad,0,A,T01-,-6829.978,2650.0,-64717.886,1873.83
RowPad,0,A,B04+,-22729.978,2650.0,-64696.616,2750.67
RowPad,0,A,B02-,-12129.978,2650.0,-64647.886,1995.074
RowPad,0,A,T04+,-22729.978,2650.0,-64626.616,2871.913
RowPad,0,A,T02-,-12129.978,2650.0,-64577.886,2116.317
RowPad,0,A,B05+,-28029.978,2650.0,-64556.616,2993.157
RowPad,0,A,B03-,-17429.978,2650.0,-64507.886,2237.561
RowPad,0,A,T05+,-28029.978,2650.0,-64486.616,3114.401
RowPad,0,A,T03-,-17429.978,2650.0,-64437.886,2358.805
RowPad,0,A,B06+,-33329.978,2650.0,-64416.616,3235.644
RowPad,0,A,B04-,-22729.978,2650.0,-64367.886,2480.048
RowPad,0,A,T06+,-33329.978,2650.0,-64346.616,3356.888
RowPad,0,A,T04-,-22729.978,2650.0,-64297.886,2601.292
RowPad,0,A,B07+,-38629.978,2650.0,-64276.616,3478.131
RowPad,0,A,B05-,-28029.978,2650.0,-64227.886,2722.535
RowPad,0,A,T07+,-38629.978,2650.0,-64206.616,3599.375
RowPad,0,A,T05-,-28029.978,2650.0,-64157.886,2843.779
