Group Section,Pad X center,Pad Y center,Pixel X center,Pixel Y center
A,-65326.616,1659.478,-1529.978,2650.0
A,-65256.616,1780.721,-1529.978,2650.0
A,-65186.616,1901.965,-1529.978,2650.0
A,-65116.616,2023.209,-6829.978,2650.0
A,-65046.616,2144.452,-6829.978,2650.0
A,-64997.886,1388.856,-1529.978,2650.0
A,-64976.616,2265.696,-12129.978,2650.0
A,-64927.886,1510.1,-1529.978,2650.0
A,-64906.616,2386.939,-12129.978,2650.0
A,-64857.886,1631.343,-1529.978,2650.0
A,-64836.616,2508.183,-17429.978,2650.0
A,-64787.886,1752.587,-6829.978,2650.0
A,-64766.616,2629.426,-17429.978,2650.0
A,-64717.886,1873.83,-6829.978,2650.0
A,-64696.616,2750.67,-22729.978,2650.0
A,-64647.886,1995.074,-12129.978,2650.0
A,-64626.616,2871.913,-22729.978,2650.0
A,-64577.886,2116.317,-12129.978,2650.0
A,-64556.616,2993.157,-28029.978,2650.0
A,-64507.886,2237.561,-17429.978,2650.0
A,-64486.616,3114.401,-28029.978,2650.0
A,-64437.886,2358.805,-17429.978,2650.0
A,-64416.616,3235.644,-33329.978,2650.0
A,-64367.886,2480.048,-22729.978,2650.0
A,-64346.616,3356.888,-33329.978,2650.0
A,-64297.886,2601.292,-22729.978,2650.0
A,-64276.616,3478.131,-38629.978,2650.0
A,-64227.886,2722.535,-28029.978,2650.0
A,-64206.616,3599.375,-38629.978,2650.0
A,-64157.886,2843.779,-28029.978,2650.0
A,-64136.616,3720.618,-43929.978,2650.0
A,-64087.886,2965.022,-33329.978,2650.0
A,-64066.616,3841.862,-43929.978,2650.0
A,-64017.886,3086.266,-33329.978,2650.0
A,-63996.616,3963.105,-49229.978,2650.0
A,-63947.886,3207.509,-38629.978,2650.0
A,-63926.616,4084.349,-49229.978,2650.0
A,-63877.886,3328.753,-38629.978,2650.0
A,-63856.616,4205.593,-54529.978,2650.0
A,-63807.886,3449.997,-43929.978,2650.0
A,-63786.616,4326.836,-54529.978,2650.0
A,-63737.886,3571.24,-43929.978,2650.0
A,-63716.616,4448.08,-59829.978,2650.0
A,-63667.886,3692.484,-49229.978,2650.0
A,-63646.616,4569.323,-59829.978,2650.0
A,-63597.886,3813.727,-49229.978,2650.0
A,-63527.886,3934.971,-54529.978,2650.0
A,-63457.886,4056.214,-54529.978,2650.0
A,-63387.886,4177.458,-59829.978,2650.0
A,-63317.886,4298.701,-59829.978,2650.0
A,-62866.616,5920.323,1120.022,7239.935
A,-62796.616,6041.566,1120.022,7239.935
A,-62726.616,6162.81,1120.022,7239.935
A,-62656.616,6284.054,-4179.978,7239.935
A,-62586.616,6405.297,-4179.978,7239.935
A,-62537.886,5649.701,1120.022,7239.935
A,-62516.616,6526.541,-9479.978,7239.935
A,-62467.886,5770.945,1120.022,7239.935
A,-62446.616,6647.784,-9479.978,7239.935
A,-62397.886,5892.188,1120.022,7239.935
A,-62376.616,6769.028,-14779.978,7239.935
A,-62327.886,6013.432,-4179.978,7239.935
A,-62306.616,6890.271,-14779.978,7239.935
A,-62257.886,6134.675,-4179.978,7239.935
A,-62236.616,7011.515,-20079.978,7239.935
A,-62187.886,6255.919,-9479.978,7239.935
A,-62166.616,7132.758,-20079.978,7239.935
A,-62117.886,6377.162,-9479.978,7239.935
A,-62096.616,7254.002,-25379.978,7239.935
A,-62047.886,6498.406,-14779.978,7239.935
A,-62026.616,7375.246,-25379.978,7239.935
A,-61977.886,6619.65,-14779.978,7239.935
A,-61956.616,7496.489,-30679.978,7239.935
A,-61907.886,6740.893,-20079.978,7239.935
A,-61886.616,7617.733,-30679.978,7239.935
A,-61837.886,6862.137,-20079.978,7239.935
A,-61816.616,7738.976,-35979.978,7239.935
A,-61767.886,6983.38,-25379.978,7239.935
A,-61746.616,7860.22,-35979.978,7239.935
A,-61697.886,7104.624,-25379.978,7239.935
A,-61676.616,7981.463,-41279.978,7239.935
A,-61627.886,7225.867,-30679.978,7239.935
A,-61606.616,8102.707,-41279.978,7239.935
A,-61557.886,7347.111,-30679.978,7239.935
A,-61536.616,8223.95,-46579.978,7239.935
A,-61487.886,7468.354,-35979.978,7239.935
A,-61466.616,8345.194,-46579.978,7239.935
A,-61417.886,7589.598,-35979.978,7239.935
A,-61396.616,8466.438,-51879.978,7239.935
A,-61347.886,7710.842,-41279.978,7239.935
A,-61326.616,8587.681,-51879.978,7239.935
A,-61277.886,7832.085,-41279.978,7239.935
