Grouptype,GroupIndex,Group Section,Pad Label,Pad X center,Pad Y center,Pixel Row,Pixel Column,Pixel Ring,Pixel Section,Pixel X center,Pixel Y center,Raw angle,Actual angle,Signal description
RowPad,0,A,B00+,-65256.616,1780.721,0,0,0,A,-1529.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B00-,-64927.886,1510.100,0,0,0,A,-1529.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T00+,-65186.616,1901.965,0,0,0,A,-1529.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T00-,-64857.886,1631.343,0,0,0,A,-1529.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B01+,-65116.616,2023.209,0,1,0,A,-6829.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B01-,-64787.886,1752.587,0,1,0,A,-6829.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T01+,-65046.616,2144.452,0,1,0,A,-6829.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T01-,-64717.886,1873.830,0,1,0,A,-6829.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B02+,-64976.616,2265.696,0,2,0,A,-12129.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B02-,-64647.886,1995.074,0,2,0,A,-12129.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T02+,-64906.616,2386.939,0,2,0,A,-12129.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T02-,-64577.886,2116.317,0,2,0,A,-12129.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B03+,-64836.616,2508.183,0,3,0,A,-17429.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B03-,-64507.886,2237.561,0,3,0,A,-17429.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T03+,-64766.616,2629.426,0,3,0,A,-17429.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T03-,-64437.886,2358.805,0,3,0,A,-17429.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B04+,-64696.616,2750.670,0,4,0,A,-22729.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B04-,-64367.886,2480.048,0,4,0,A,-22729.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T04+,-64626.616,2871.913,0,4,0,A,-22729.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T04-,-64297.886,2601.292,0,4,0,A,-22729.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B05+,-64556.616,2993.157,0,5,0,A,-28029.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B05-,-64227.886,2722.535,0,5,0,A,-28029.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T05+,-64486.616,3114.401,0,5,0,A,-28029.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T05-,-64157.886,2843.779,0,5,0,A,-28029.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B06+,-64416.616,3235.644,0,6,0,A,-33329.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B06-,-64087.886,2965.022,0,6,0,A,-33329.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T06+,-64346.616,3356.888,0,6,0,A,-33329.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T06-,-64017.886,3086.266,0,6,0,A,-33329.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B07+,-64276.616,3478.131,0,7,0,A,-38629.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B07-,-63947.886,3207.509,0,7,0,A,-38629.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T07+,-64206.616,3599.375,0,7,0,A,-38629.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T07-,-63877.886,3328.753,0,7,0,A,-38629.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B08+,-64136.616,3720.618,0,8,0,A,-43929.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B08-,-63807.886,3449.997,0,8,0,A,-43929.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T08+,-64066.616,3841.862,0,8,0,A,-43929.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T08-,-63737.886,3571.240,0,8,0,A,-43929.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B09+,-63996.616,3963.105,0,9,0,A,-49229.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B09-,-63667.886,3692.484,0,9,0,A,-49229.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T09+,-63926.616,4084.349,0,9,0,A,-49229.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T09-,-63597.886,3813.727,0,9,0,A,-49229.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B10+,-63856.616,4205.593,0,10,0,A,-54529.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B10-,-63527.886,3934.971,0,10,0,A,-54529.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T10+,-63786.616,4326.836,0,10,0,A,-54529.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T10-,-63457.886,4056.214,0,10,0,A,-54529.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B11+,-63716.616,4448.080,0,11,0,A,-59829.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,B11-,-63387.886,4177.458,0,11,0,A,-59829.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T11+,-63646.616,4569.323,0,11,0,A,-59829.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,T11-,-63317.886,4298.701,0,11,0,A,-59829.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,X00+,-65326.616,1659.478,0,0,0,A,-1529.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,A,X00-,-64997.886,1388.856,0,0,0,A,-1529.978,2650.000,0.0,2.0943951023931953,NC
RowPad,0,B,B00+,34170.458,55623.527,0,0,0,B,3059.956,0.000,0.0,0.0,NC
RowPad,0,B,B00-,33771.728,55474.149,0,0,0,B,3059.956,0.000,0.0,0.0,NC
RowPad,0,B,T00+,34240.458,55502.283,0,0,0,B,3059.956,0.000,0.0,0.0,NC
RowPad,0,B,T00-,33841.728,55352.905,0,0,0,B,3059.956,0.000,0.0,0.0,NC
RowPad,0,B,B01+,34310.458,55381.040,0,1,0,B,5709.956,4589.935,0.0,0.0,NC
RowPad,0,B,B01-,33911.728,55231.662,0,1,0,B,5709.956,4589.935,0.0,0.0,NC
RowPad,0,B,T01+,34380.458,55259.796,0,1,0,B,5709.956,4589.935,0.0,0.0,NC
RowPad,0,B,T01-,33981.728,55110.418,0,1,0,B,5709.956,4589.935,0.0,0.0,NC
RowPad,0,B,B02+,34450.458,55138.553,0,2,0,B,8359.956,9179.869,0.0,0.0,NC
RowPad,0,B,B02-,34051.728,54989.174,0,2,0,B,8359.956,9179.869,0.0,0.0,NC
RowPad,0,B,T02+,34520.458,55017.309,0,2,0,B,8359.956,9179.869,0.0,0.0,NC
RowPad,0,B,T02-,34121.728,54867.931,0,2,0,B,8359.956,9179.869,0.0,0.0,NC
RowPad,0,B,B03+,34590.458,54896.066,0,3,0,B,11009.956,13769.804,0.0,0.0,NC
RowPad,0,B,B03-,34191.728,54746.687,0,3,0,B,11009.956,13769.804,0.0,0.0,NC
RowPad,0,B,T03+,34660.458,54774.822,0,3,0,B,11009.956,13769.804,0.0,0.0,NC
RowPad,0,B,T03-,34261.728,54625.444,0,3,0,B,11009.956,13769.804,0.0,0.0,NC
RowPad,0,B,B04+,34730.458,54653.578,0,4,0,B,13659.956,18359.739,0.0,0.0,NC
RowPad,0,B,B04-,34331.728,54504.200,0,4,0,B,13659.956,18359.739,0.0,0.0,NC
RowPad,0,B,T04+,34800.458,54532.335,0,4,0,B,13659.956,18359.739,0.0,0.0,NC
RowPad,0,B,T04-,34401.728,54382.957,0,4,0,B,13659.956,18359.739,0.0,0.0,NC
RowPad,0,B,B05+,34870.458,54411.091,0,5,0,B,16309.956,22949.673,0.0,0.0,NC
RowPad,0,B,B05-,34471.728,54261.713,0,5,0,B,16309.956,22949.673,0.0,0.0,NC
RowPad,0,B,T05+,34940.458,54289.848,0,5,0,B,16309.956,22949.673,0.0,0.0,NC
RowPad,0,B,T05-,34541.728,54140.470,0,5,0,B,16309.956,22949.673,0.0,0.0,NC
RowPad,0,B,B06+,35010.458,54168.604,0,6,0,B,18959.956,27539.608,0.0,0.0,NC
RowPad,0,B,B06-,34611.728,54019.226,0,6,0,B,18959.956,27539.608,0.0,0.0,NC
RowPad,0,B,T06+,35080.458,54047.361,0,6,0,B,18959.956,27539.608,0.0,0.0,NC
RowPad,0,B,T06-,34681.728,53897.982,0,6,0,B,18959.956,27539.608,0.0,0.0,NC
RowPad,0,B,B07+,35150.458,53926.117,0,7,0,B,21609.956,32129.542,0.0,0.0,NC
RowPad,0,B,B07-,34751.728,53776.739,0,7,0,B,21609.956,32129.542,0.0,0.0,NC
RowPad,0,B,T07+,35220.458,53804.874,0,7,0,B,21609.956,32129.542,0.0,0.0,NC
RowPad,0,B,T07-,34821.728,53655.495,0,7,0,B,21609.956,32129.542,0.0,0.0,NC
RowPad,0,B,B08+,35290.458,53683.630,0,8,0,B,24259.956,36719.477,0.0,0.0,NC
RowPad,0,B,B08-,34891.728,53534.252,0,8,0,B,24259.956,36719.477,0.0,0.0,NC
RowPad,0,B,T08+,35360.458,53562.386,0,8,0,B,24259.956,36719.477,0.0,0.0,NC
RowPad,0,B,T08-,34961.728,53413.008,0,8,0,B,24259.956,36719.477,0.0,0.0,NC
RowPad,0,B,B09+,35430.458,53441.143,0,9,0,B,26909.956,41309.412,0.0,0.0,NC
