in s,C1 in V,C4 in V
-6.00000E-08,6.34766E-01,-1.21658E+00
-5.98000E-08,7.32422E-01,-1.21170E+00
-5.96000E-08,7.32422E-01,-1.21658E+00
-5.94000E-08,6.34766E-01,-1.23123E+00
-5.92000E-08,4.39453E-01,-1.23611E+00
-5.90000E-08,3.41797E-01,-1.22635E+00
-5.88000E-08,5.37109E-01,-1.21658E+00
-5.86000E-08,7.32422E-01,-1.22146E+00
-5.84000E-08,8.30078E-01,-1.23123E+00
-5.82000E-08,6.34766E-01,-1.23611E+00
-5.80000E-08,4.39453E-01,-1.23123E+00
-5.78000E-08,4.39453E-01,-1.24100E+00
-5.76000E-08,6.34766E-01,-1.25564E+00
-5.74000E-08,8.30078E-01,-1.24588E+00
-5.72000E-08,8.30078E-01,-1.21658E+00
-5.70000E-08,6.34766E-01,-1.19705E+00
-5.68000E-08,3.41797E-01,-1.21170E+00
-5.66000E-08,4.39453E-01,-1.23123E+00
-5.64000E-08,7.32422E-01,-1.23123E+00
-5.62000E-08,8.30078E-01,-1.22635E+00
-5.60000E-08,6.34766E-01,-1.23611E+00
-5.58000E-08,5.37109E-01,-1.24588E+00
-5.56000E-08,6.34766E-01,-1.23123E+00
-5.54000E-08,7.32422E-01,-1.21170E+00
-5.52000E-08,6.34766E-01,-1.21170E+00
-5.50000E-08,4.39453E-01,-1.22635E+00
-5.48000E-08,4.39453E-01,-1.23611E+00
-5.46000E-08,5.37109E-01,-1.23123E+00
-5.44000E-08,4.39453E-01,-1.22635E+00
-5.42000E-08,3.41797E-01,-1.23123E+00
-5.40000E-08,4.39453E-01,-1.23123E+00
-5.38000E-08,5.37109E-01,-1.22635E+00
-5.36000E-08,5.37109E-01,-1.22146E+00
-5.34000E-08,4.39453E-01,-1.22146E+00
-5.32000E-08,4.39453E-01,-1.22635E+00
-5.30000E-08,4.39453E-01,-1.22635E+00
-5.28000E-08,4.39453E-01,-1.22146E+00
-5.26000E-08,3.41797E-01,-1.22146E+00
-5.24000E-08,3.41797E-01,-1.23123E+00
-5.22000E-08,5.37109E-01,-1.24100E+00
-5.20000E-08,6.34766E-01,-1.23611E+00
-5.18000E-08,4.39453E-01,-1.22146E+00
-5.16000E-08,2.44141E-01,-1.21658E+00
-5.14000E-08,2.44141E-01,-1.22146E+00
-5.12000E-08,5.37109E-01,-1.23123E+00
-5.10000E-08,8.30078E-01,-1.23611E+00
-5.08000E-08,7.32422E-01,-1.23611E+00
-5.06000E-08,5.37109E-01,-1.24100E+00
-5.04000E-08,4.39453E-01,-1.24588E+00
-5.02000E-08,4.39453E-01,-1.24588E+00
-5.00000E-08,5.37109E-01,-1.24100E+00
-4.98000E-08,5.37109E-01,-1.22635E+00
-4.96000E-08,6.34766E-01,-1.21658E+00
-4.94000E-08,6.34766E-01,-1.22146E+00
-4.92000E-08,6.34766E-01,-1.22635E+00
-4.90000E-08,6.34766E-01,-1.22146E+00
-4.88000E-08,7.32422E-01,-1.20682E+00
-4.86000E-08,7.32422E-01,-1.19705E+00
-4.84000E-08,5.37109E-01,-1.20682E+00
-4.82000E-08,4.39453E-01,-1.22635E+00
-4.80000E-08,5.37109E-01,-1.23123E+00
-4.78000E-08,7.32422E-01,-1.23123E+00
-4.76000E-08,8.30078E-01,-1.23611E+00
-4.74000E-08,7.32422E-01,-1.24588E+00
-4.72000E-08,7.32422E-01,-1.25076E+00
-4.70000E-08,7.32422E-01,-1.24588E+00
-4.68000E-08,7.32422E-01,-1.24100E+00
-4.66000E-08,6.34766E-01,-1.23123E+00
-4.64000E-08,6.34766E-01,-1.22146E+00
-4.62000E-08,7.32422E-01,-1.21658E+00
-4.60000E-08,8.30078E-01,-1.21658E+00
-4.58000E-08,7.32422E-01,-1.22635E+00
-4.56000E-08,5.37109E-01,-1.23123E+00
-4.54000E-08,2.44141E-01,-1.23611E+00
-4.52000E-08,1.46484E-01,-1.23611E+00
-4.50000E-08,3.41797E-01,-1.23611E+00
-4.48000E-08,7.32422E-01,-1.24100E+00
-4.46000E-08,1.02539E+00,-1.24588E+00
-4.44000E-08,1.02539E+00,-1.24588E+00
-4.42000E-08,7.32422E-01,-1.23611E+00
-4.40000E-08,5.37109E-01,-1.22635E+00
-4.38000E-08,5.37109E-01,-1.22635E+00
-4.36000E-08,6.34766E-01,-1.23611E+00
-4.34000E-08,7.32422E-01,-1.23611E+00
-4.32000E-08,7.32422E-01,-1.21658E+00
-4.30000E-08,6.34766E-01,-1.20682E+00
-4.28000E-08,4.39453E-01,-1.21658E+00
-4.26000E-08,4.39453E-01,-1.22635E+00
-4.24000E-08,5.37109E-01,-1.22146E+00
-4.22000E-08,6.34766E-01,-1.20682E+00
-4.20000E-08,5.37109E-01,-1.21170E+00
-4.18000E-08,3.41797E-01,-1.22635E+00
-4.16000E-08,2.44141E-01,-1.23611E+00
-4.14000E-08,3.41797E-01,-1.23611E+00
-4.12000E-08,3.41797E-01,-1.23611E+00
-4.10000E-08,3.41797E-01,-1.23123E+00
-4.08000E-08,4.39453E-01,-1.22146E+00
-4.06000E-08,5.37109E-01,-1.21658E+00
-4.04000E-08,6.34766E-01,-1.22146E+00
-4.02000E-08,7.32422E-01,-1.23123E+00
-4.00000E-08,7.32422E-01,-1.23123E+00
-3.98000E-08,6.34766E-01,-1.21658E+00
-3.96000E-08,6.34766E-01,-1.20193E+00
-3.94000E-08,6.34766E-01,-1.19705E+00
-3.92000E-08,6.34766E-01,-1.20682E+00
-3.90000E-08,5.37109E-01,-1.22146E+00
-3.88000E-08,4.39453E-01,-1.23123E+00
-3.86000E-08,4.39453E-01,-1.22635E+00
-3.84000E-08,6.34766E-01,-1.21658E+00
-3.82000E-08,7.32422E-01,-1.21170E+00
-3.80000E-08,6.34766E-01,-1.21170E+00
-3.78000E-08,4.39453E-01,-1.22146E+00
-3.76000E-08,4.39453E-01,-1.22635E+00
-3.74000E-08,4.39453E-01,-1.22635E+00
-3.72000E-08,4.39453E-01,-1.22146E+00
-3.70000E-08,4.39453E-01,-1.22146E+00
-3.68000E-08,5.37109E-01,-1.22635E+00
-3.66000E-08,6.34766E-01,-1.23611E+00
-3.64000E-08,6.34766E-01,-1.23611E+00
-3.62000E-08,6.34766E-01,-1.22146E+00
-3.60000E-08,6.34766E-01,-1.21170E+00
-3.58000E-08,6.34766E-01,-1.21658E+00
-3.56000E-08,5.37109E-01,-1.22635E+00
-3.54000E-08,3.41797E-01,-1.22635E+00
-3.52000E-08,3.41797E-01,-1.21658E+00
-3.50000E-08,3.41797E-01,-1.21658E+00
-3.48000E-08,4.39453E-01,-1.22635E+00
-3.46000E-08,6.34766E-01,-1.22635E+00
-3.44000E-08,9.27734E-01,-1.21170E+00
-3.42000E-08,1.02539E+00,-1.20193E+00
-3.40000E-08,8.30078E-01,-1.20682E+00
-3.38000E-08,5.37109E-01,-1.22146E+00
-3.36000E-08,4.39453E-01,-1.22146E+00
-3.34000E-08,5.37109E-01,-1.21658E+00
-3.32000E-08,5.37109E-01,-1.21170E+00
-3.30000E-08,4.39453E-01,-1.21658E+00
