in s,C1 in V,C4 in V
-1.800E-07,4.39453E-01,-2.02225E+00
-1.796E-07,1.46484E-01,-2.03689E+00
-1.792E-07,6.34766E-01,-2.04178E+00
-1.788E-07,6.34766E-01,-2.03201E+00
-1.784E-07,7.32422E-01,-2.03201E+00
-1.780E-07,7.32422E-01,-2.02713E+00
-1.776E-07,6.34766E-01,-2.02225E+00
-1.772E-07,9.27734E-01,-2.01736E+00
-1.768E-07,7.32422E-01,-2.02225E+00
-1.764E-07,7.32422E-01,-2.03201E+00
-1.760E-07,7.32422E-01,-2.03201E+00
-1.756E-07,3.41797E-01,-2.03201E+00
-1.752E-07,8.30078E-01,-2.02225E+00
-1.748E-07,2.44141E-01,-2.02713E+00
-1.744E-07,4.39453E-01,-2.02713E+00
-1.740E-07,3.41797E-01,-2.01736E+00
-1.736E-07,7.32422E-01,-2.00760E+00
-1.732E-07,6.34766E-01,-2.03201E+00
-1.728E-07,7.32422E-01,-2.01248E+00
-1.724E-07,5.37109E-01,-2.02225E+00
-1.720E-07,4.39453E-01,-2.03201E+00
-1.716E-07,6.34766E-01,-2.02713E+00
-1.712E-07,7.32422E-01,-2.03201E+00
-1.708E-07,8.30078E-01,-2.03201E+00
-1.704E-07,4.39453E-01,-2.02225E+00
-1.700E-07,6.34766E-01,-2.01736E+00
-1.696E-07,7.32422E-01,-2.02713E+00
-1.692E-07,7.32422E-01,-2.02713E+00
-1.688E-07,6.34766E-01,-2.03689E+00
-1.684E-07,4.39453E-01,-2.02225E+00
-1.680E-07,7.32422E-01,-2.02713E+00
-1.676E-07,6.34766E-01,-2.04178E+00
-1.672E-07,4.39453E-01,-2.01248E+00
-1.668E-07,5.37109E-01,-2.04666E+00
-1.664E-07,4.39453E-01,-2.01736E+00
-1.660E-07,4.39453E-01,-2.03201E+00
-1.656E-07,6.34766E-01,-2.03201E+00
-1.652E-07,6.34766E-01,-2.02713E+00
-1.648E-07,5.37109E-01,-2.02225E+00
-1.644E-07,8.30078E-01,-2.03201E+00
-1.640E-07,4.39453E-01,-2.03689E+00
-1.636E-07,7.32422E-01,-2.03201E+00
-1.632E-07,3.41797E-01,-2.03689E+00
-1.628E-07,6.34766E-01,-2.02225E+00
-1.624E-07,4.39453E-01,-2.01736E+00
-1.620E-07,3.41797E-01,-2.03689E+00
-1.616E-07,4.39453E-01,-2.01248E+00
-1.612E-07,3.41797E-01,-2.01736E+00
-1.608E-07,8.30078E-01,-2.02713E+00
-1.604E-07,6.34766E-01,-2.03201E+00
